NBCC Sa(5.0) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
Longitude,Latitude,Parameter,0.02,0.01375,0.01,0.00445,0.0021,0.001,0.0005,0.000404,0.0002,0.0001,Ref No.,Location,Prov.
-121.283,51.65,5,0.0027,0.0035,0.0042,0.0067,0.0104,0.0162,0.0238,0.0265,0.0368,0.0485,1,100 Mile House,BC
-122.329,49.052,5,0.0052,0.0068,0.0085,0.015,0.0254,0.0424,0.064,0.0716,0.0992,0.1296,2,Abbotsford,BC
-121.77,49.23,5,0.0043,0.0055,0.0069,0.0119,0.0201,0.0335,0.0511,0.0575,0.0805,0.1062,3,Agassiz,BC
-124.8,49.27,5,0.0061,0.0079,0.0097,0.0173,0.0343,0.0694,0.1102,0.1235,0.1712,0.2215,4,Alberni,BC
-121.28,50.72,5,0.003,0.0038,0.0047,0.0077,0.0124,0.0202,0.0307,0.0342,0.0482,0.0644,5,Ashcroft,BC
-121.4,57.38,5,0.0014,0.0017,0.002,0.0031,0.0042,0.0058,0.0078,0.0085,0.0114,0.0147,6,Beatton River,BC
-125.75,54.23,5,0.004,0.0049,0.0058,0.0087,0.0123,0.0167,0.0218,0.0236,0.0302,0.0376,7,Burns Lake,BC
-121.32,50.8,5,0.003,0.0038,0.0046,0.0077,0.0123,0.0199,0.0302,0.0338,0.0474,0.0634,8,Cache Creek,BC
-125.24,50.02,5,0.006,0.0077,0.0095,0.0169,0.0315,0.0557,0.0843,0.094,0.1284,0.1662,9,Campbell River,BC
-119.12,49.5,5,0.0023,0.003,0.0037,0.0063,0.0102,0.0164,0.0249,0.028,0.0396,0.0526,10,Carmi,BC
-117.67,49.32,5,0.0018,0.0025,0.0032,0.0054,0.0087,0.0135,0.0195,0.0217,0.03,0.0393,11,Castlegar,BC
-121.63,55.7,5,0.0018,0.0022,0.0027,0.0042,0.006,0.0087,0.012,0.0132,0.0177,0.0233,12,Chetwynd,BC
-121.95,49.167,5,0.0046,0.0059,0.0073,0.0128,0.0217,0.0362,0.0552,0.0623,0.0863,0.1136,13,Chilliwack,BC
-124.93,49.68,5,0.006,0.0076,0.0094,0.0166,0.0319,0.0594,0.0914,0.1028,0.141,0.1829,14,Comox,BC
-124.98,49.68,5,0.006,0.0077,0.0094,0.0168,0.0322,0.0603,0.0926,0.104,0.1427,0.1849,15,Courtenay,BC
-115.77,49.5,5,0.0016,0.0023,0.0031,0.0051,0.0083,0.0124,0.0169,0.0184,0.0241,0.0304,16,Cranbrook,BC
-117.55,49.45,5,0.0018,0.0025,0.0032,0.0053,0.0086,0.0132,0.019,0.021,0.029,0.0379,17,Crescent Valley,BC
-123.65,48.87,5,0.0067,0.0089,0.0112,0.0198,0.0351,0.0635,0.099,0.1105,0.1526,0.198,18,Crofton,BC
-120.23,55.77,5,0.0011,0.0014,0.0016,0.0025,0.0037,0.0053,0.0074,0.0082,0.0114,0.0154,19,Dawson Creek,BC
-122.3,51.58,5,0.0033,0.0041,0.0049,0.0079,0.0123,0.0192,0.0284,0.0317,0.0441,0.0582,20,Dog Creek,BC
-123.7,48.78,5,0.0068,0.009,0.0114,0.0201,0.0361,0.0669,0.1054,0.1176,0.1625,0.2106,21,Duncan,BC
-115.12,49.3,5,0.0017,0.0024,0.0032,0.0055,0.009,0.0133,0.0179,0.0194,0.0251,0.0315,22,Elko,BC
-115.07,49.5,5,0.0016,0.0023,0.0031,0.0053,0.0086,0.0128,0.0173,0.0188,0.0245,0.0311,23,Fernie,BC
-122.7,58.83,5,0.0018,0.0022,0.0027,0.004,0.0057,0.0081,0.0111,0.0121,0.0159,0.0203,24,Fort Nelson,BC
-120.85,56.25,5,0.0012,0.0014,0.0017,0.0026,0.0037,0.0052,0.0071,0.0079,0.0108,0.0147,25,Fort St. John,BC
-117.52,51.27,5,0.0015,0.0021,0.0027,0.0046,0.0073,0.0114,0.0162,0.018,0.0244,0.0319,26,Glacier,BC
-116.97,51.3,5,0.0015,0.002,0.0026,0.0045,0.0072,0.0112,0.0159,0.0177,0.0241,0.0318,27,Golden,BC
-118.45,49.03,5,0.0021,0.0028,0.0035,0.0059,0.0096,0.0152,0.0228,0.0256,0.0358,0.0477,28,Grand Forks,BC
-118.68,49.1,5,0.0021,0.0028,0.0035,0.006,0.0099,0.0157,0.0238,0.0266,0.0375,0.0499,29,Greenwood,BC
