NBCC Sa(0.2) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
Longitude,Latitude,Parameter,0.02,0.01375,0.01,0.00445,0.0021,0.001,0.0005,0.000404,0.0002,0.0001,Ref No.,Location,Prov.
-121.283,51.65,0.2,0.0109,0.0148,0.0188,0.0335,0.0543,0.0845,0.1247,0.1401,0.2032,0.2898,1,100 Mile House,BC
-122.329,49.052,0.2,0.1074,0.1362,0.164,0.2526,0.3579,0.4901,0.6456,0.6999,0.9058,1.1565,2,Abbotsford,BC
-121.77,49.23,0.2,0.0682,0.0867,0.1051,0.1626,0.2322,0.3188,0.4207,0.4568,0.5978,0.7773,3,Agassiz,BC
-124.8,49.27,0.2,0.0952,0.1242,0.1551,0.2683,0.4313,0.6437,0.8742,0.9534,1.2257,1.5271,4,Alberni,BC
-121.28,50.72,0.2,0.0179,0.0238,0.03,0.0517,0.0821,0.1243,0.1784,0.198,0.2773,0.3793,5,Ashcroft,BC
-121.4,57.38,0.2,0.0046,0.0073,0.0107,0.0236,0.0435,0.0736,0.1155,0.1321,0.2026,0.3034,6,Beatton River,BC
-125.75,54.23,0.2,0.0074,0.0101,0.0126,0.0209,0.0326,0.0522,0.0827,0.0952,0.1478,0.2219,7,Burns Lake,BC
-121.32,50.8,0.2,0.0173,0.023,0.029,0.0504,0.0804,0.122,0.1753,0.1947,0.2731,0.3737,8,Cache Creek,BC
-125.24,50.02,0.2,0.068,0.0867,0.1064,0.1773,0.274,0.3999,0.5443,0.5969,0.7876,1.0176,9,Campbell River,BC
-119.12,49.5,0.2,0.0133,0.0174,0.0216,0.0365,0.0573,0.0869,0.126,0.141,0.2015,0.2839,10,Carmi,BC
-117.67,49.32,0.2,0.01,0.0132,0.0165,0.0282,0.0459,0.0739,0.1136,0.1291,0.1929,0.2798,11,Castlegar,BC
-121.63,55.7,0.2,0.0052,0.0084,0.0123,0.0283,0.0546,0.0965,0.1537,0.176,0.2668,0.3906,12,Chetwynd,BC
-121.95,49.167,0.2,0.0798,0.1014,0.1223,0.1895,0.2706,0.3725,0.4943,0.5379,0.7091,0.927,13,Chilliwack,BC
-124.93,49.68,0.2,0.0744,0.0961,0.1191,0.2015,0.3148,0.4603,0.6288,0.6848,0.8924,1.1343,14,Comox,BC
-124.98,49.68,0.2,0.0743,0.0957,0.1185,0.201,0.3153,0.4631,0.6342,0.6912,0.9014,1.1452,15,Courtenay,BC
-115.77,49.5,0.2,0.0166,0.0224,0.0284,0.0481,0.0741,0.1089,0.153,0.1695,0.2355,0.324,16,Cranbrook,BC
-117.55,49.45,0.2,0.01,0.0132,0.0166,0.0286,0.0465,0.0747,0.1144,0.1299,0.1933,0.2801,17,Crescent Valley,BC
-123.65,48.87,0.2,0.1728,0.2209,0.2693,0.4242,0.6068,0.8186,1.0504,1.1238,1.4011,1.7,18,Crofton,BC
-120.23,55.77,0.2,0.0048,0.008,0.0118,0.0261,0.0484,0.0829,0.1307,0.1493,0.2278,0.3361,19,Dawson Creek,BC
-122.3,51.58,0.2,0.0137,0.0187,0.0241,0.0433,0.0699,0.1069,0.1538,0.1714,0.2416,0.3337,20,Dog Creek,BC
-123.7,48.78,0.2,0.1767,0.2261,0.2759,0.4362,0.6272,0.848,1.0883,1.1657,1.4511,1.7632,21,Duncan,BC
-115.12,49.3,0.2,0.0232,0.0315,0.0397,0.0669,0.1012,0.145,0.1977,0.2169,0.2927,0.3911,22,Elko,BC
-115.07,49.5,0.2,0.0208,0.0284,0.0361,0.0624,0.0973,0.1457,0.2092,0.2335,0.3347,0.4748,23,Fernie,BC
-122.7,58.83,0.2,0.0108,0.0147,0.0188,0.0331,0.0534,0.0832,0.1244,0.1407,0.2101,0.308,24,Fort Nelson,BC
-120.85,56.25,0.2,0.0045,0.0075,0.0113,0.0253,0.0471,0.0805,0.1264,0.1445,0.2196,0.3234,25,Fort St. John,BC
-117.52,51.27,0.2,0.0109,0.0161,0.0218,0.0439,0.0765,0.1234,0.1844,0.2068,0.2974,0.4151,26,Glacier,BC
-116.97,51.3,0.2,0.0118,0.0179,0.0248,0.0519,0.093,0.1532,0.2331,0.2631,0.3863,0.5511,27,Golden,BC
-118.45,49.03,0.2,0.0113,0.0146,0.0182,0.0309,0.0496,0.078,0.1171,0.1324,0.1948,0.2799,28,Grand Forks,BC
-118.68,49.1,0.2,0.0121,0.0158,0.0196,0.0332,0.0528,0.0817,0.1208,0.136,0.1974,0.2816,29,Greenwood,BC
-121.44,49.38,0.2,0.0502,0.0645,0.0785,0.1229,0.1781,0.2481,0.332,0.3624,0.4837,0.6431,30,Hope,BC
-120.32,50.67,0.2,0.0133,0.0176,0.0219,0.0375,0.0593,0.0901,0.1303,0.1455,0.2067,0.2896,31,Kamloops,BC
-116.92,49.92,0.2,0.0107,0.0145,0.0186,0.0331,0.0542,0.0854,0.1264,0.142,0.2045,0.2895,32,Kaslo,BC
-119.48,49.88,0.2,0.0137,0.0179,0.0223,0.0374,0.0586,0.0884,0.1276,0.1425,0.2029,0.2845,33,Kelowna,BC
-115.98,49.68,0.2,0.0146,0.0197,0.0251,0.0435,0.0684,0.1034,0.1483,0.1651,0.2327,0.3223,34,Kimberley,BC
-128.63,54.05,0.2,0.023,0.0289,0.0349,0.0546,0.0788,0.1091,0.1468,0.1612,0.2228,0.3143,35,Kitimat Plant,BC
-128.65,54.07,0.2,0.023,0.0289,0.0349,0.0546,0.0789,0.1092,0.1469,0.1613,0.2228,0.3143,36,Kitimat Townsite,BC
-121.93,50.68,0.2,0.0231,0.0309,0.0391,0.069,0.1112,0.1721,0.2531,0.284,0.4114,0.5828,37,Lillooet,BC
-121.57,50.23,0.2,0.0281,0.0368,0.0459,0.0775,0.1205,0.1817,0.2616,0.2921,0.4177,0.5873,38,Lytton,BC
-123.08,55.3,0.2,0.0052,0.0079,0.0111,0.0249,0.049,0.0884,0.1435,0.1649,0.2541,0.3767,39,Mackenzie,BC
-132.1,54.02,0.2,0.1613,0.1979,0.2336,0.3385,0.4577,0.5954,0.7418,0.7905,0.9669,1.1697,40,Masset,BC
-120.17,53.3,0.2,0.0088,0.0136,0.0191,0.0419,0.0789,0.1374,0.2196,0.2524,0.3912,0.5822,41,McBride,BC
-123.03,54.98,0.2,0.0053,0.0078,0.0108,0.0236,0.0458,0.0819,0.1328,0.1524,0.2352,0.3503,42,McLeod Lake,BC
