NBCC Sa(2.0) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
Longitude,Latitude,Parameter,0.02,0.01375,0.01,0.00445,0.0021,0.001,0.0005,0.000404,0.0002,0.0001,Ref No.,Location,Prov.
-121.283,51.65,2,0.0077,0.0098,0.0117,0.018,0.0264,0.0381,0.0526,0.0579,0.0776,0.1005,1,100 Mile House,BC
-122.329,49.052,2,0.0232,0.0306,0.038,0.0639,0.0979,0.1432,0.1959,0.2141,0.2818,0.357,2,Abbotsford,BC
-121.77,49.23,2,0.0175,0.0227,0.028,0.0458,0.0696,0.1025,0.1424,0.1564,0.2089,0.2697,3,Agassiz,BC
-124.8,49.27,2,0.0239,0.0312,0.0391,0.0704,0.1269,0.2204,0.3326,0.3699,0.504,0.6552,4,Alberni,BC
-121.28,50.72,2,0.0095,0.012,0.0144,0.0226,0.034,0.0503,0.0712,0.0787,0.1069,0.1399,5,Ashcroft,BC
-121.4,57.38,2,0.0038,0.0046,0.0055,0.0085,0.0124,0.0175,0.0238,0.0261,0.0348,0.0458,6,Beatton River,BC
-125.75,54.23,2,0.011,0.0133,0.0155,0.0221,0.0297,0.0387,0.0487,0.0521,0.0647,0.0791,7,Burns Lake,BC
-121.32,50.8,2,0.0094,0.0118,0.0142,0.0223,0.0335,0.0495,0.0699,0.0774,0.105,0.1372,8,Cache Creek,BC
-125.24,50.02,2,0.0207,0.0263,0.0323,0.0559,0.0976,0.1621,0.239,0.2637,0.3548,0.4576,9,Campbell River,BC
-119.12,49.5,2,0.0075,0.0098,0.0119,0.0187,0.0277,0.0404,0.0563,0.0622,0.0839,0.1095,10,Carmi,BC
-117.67,49.32,2,0.0059,0.0077,0.0098,0.0158,0.0233,0.0329,0.0444,0.0483,0.0635,0.0811,11,Castlegar,BC
-121.63,55.7,2,0.0043,0.0053,0.0064,0.0102,0.0147,0.0212,0.0299,0.0332,0.047,0.0661,12,Chetwynd,BC
-121.95,49.167,2,0.0192,0.025,0.031,0.0509,0.078,0.1144,0.1586,0.1745,0.2321,0.2986,13,Chilliwack,BC
-124.93,49.68,2,0.0216,0.0277,0.0343,0.0599,0.1051,0.1776,0.2632,0.2931,0.3969,0.5105,14,Comox,BC
-124.98,49.68,2,0.0216,0.0277,0.0342,0.06,0.1058,0.1796,0.2669,0.2975,0.4033,0.5181,15,Courtenay,BC
-115.77,49.5,2,0.0054,0.0073,0.0095,0.016,0.0238,0.0331,0.0437,0.047,0.0602,0.0754,16,Cranbrook,BC
-117.55,49.45,2,0.0058,0.0076,0.0096,0.0155,0.0229,0.0323,0.0434,0.0472,0.0618,0.0787,17,Crescent Valley,BC
-123.65,48.87,2,0.0323,0.0435,0.0553,0.0978,0.1565,0.2355,0.3254,0.3555,0.4678,0.5948,18,Crofton,BC
-120.23,55.77,2,0.003,0.0038,0.0046,0.0073,0.0111,0.0166,0.0238,0.0265,0.0372,0.0509,19,Dawson Creek,BC
-122.3,51.58,2,0.0093,0.0117,0.0139,0.0214,0.0317,0.0463,0.0646,0.0711,0.0954,0.1234,20,Dog Creek,BC
-123.7,48.78,2,0.0329,0.0443,0.0563,0.1,0.1616,0.246,0.3429,0.3763,0.4965,0.6349,21,Duncan,BC
-115.12,49.3,2,0.0057,0.008,0.0105,0.0179,0.0267,0.0373,0.0493,0.0534,0.0688,0.0865,22,Elko,BC
-115.07,49.5,2,0.0055,0.0076,0.0101,0.0171,0.0256,0.036,0.0481,0.0522,0.0683,0.0881,23,Fernie,BC
-122.7,58.83,2,0.005,0.0063,0.0076,0.012,0.0174,0.0246,0.0329,0.0358,0.0467,0.0599,24,Fort Nelson,BC
-120.85,56.25,2,0.0032,0.0039,0.0047,0.0073,0.011,0.0162,0.0231,0.0257,0.0359,0.0489,25,Fort St. John,BC
-117.52,51.27,2,0.0048,0.0062,0.0078,0.0133,0.02,0.029,0.0397,0.0436,0.0581,0.0762,26,Glacier,BC
-116.97,51.3,2,0.0046,0.0061,0.0077,0.0133,0.0204,0.03,0.0418,0.0461,0.0635,0.0867,27,Golden,BC
-118.45,49.03,2,0.0067,0.0088,0.011,0.0174,0.0258,0.0371,0.0512,0.0564,0.0759,0.0983,28,Grand Forks,BC
-118.68,49.1,2,0.007,0.0092,0.0113,0.0179,0.0266,0.0386,0.0535,0.059,0.0796,0.1036,29,Greenwood,BC
-121.44,49.38,2,0.0148,0.019,0.0233,0.0377,0.0573,0.0845,0.1186,0.1312,0.1775,0.2304,30,Hope,BC
-120.32,50.67,2,0.0079,0.0101,0.0122,0.019,0.0283,0.0413,0.0578,0.0637,0.0859,0.1119,31,Kamloops,BC
-116.92,49.92,2,0.0053,0.007,0.0088,0.0146,0.0215,0.0302,0.0399,0.0434,0.0558,0.0706,32,Kaslo,BC
-119.48,49.88,2,0.0077,0.01,0.012,0.0189,0.0281,0.041,0.0573,0.0633,0.0855,0.1116,33,Kelowna,BC
-115.98,49.68,2,0.0053,0.0071,0.0092,0.0154,0.0228,0.0318,0.0419,0.0453,0.058,0.0729,34,Kimberley,BC
-128.63,54.05,2,0.0195,0.024,0.0281,0.0407,0.0548,0.0718,0.0897,0.0959,0.1173,0.1419,35,Kitimat Plant,BC
-128.65,54.07,2,0.0195,0.024,0.0281,0.0407,0.0548,0.0718,0.0897,0.0959,0.1174,0.1419,36,Kitimat Townsite,BC
-121.93,50.68,2,0.011,0.0138,0.0166,0.0264,0.0403,0.0607,0.0866,0.0961,0.1319,0.1736,37,Lillooet,BC
-121.57,50.23,2,0.0116,0.0146,0.0178,0.0284,0.0432,0.0648,0.0925,0.1029,0.141,0.1852,38,Lytton,BC
-123.08,55.3,2,0.0054,0.0068,0.0082,0.0126,0.0177,0.0244,0.0328,0.036,0.0489,0.0666,39,Mackenzie,BC
-132.1,54.02,2,0.0477,0.0615,0.0746,0.1139,0.1585,0.2094,0.2644,0.2826,0.3461,0.4185,40,Masset,BC
