NBCC Sa(1.0) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
Longitude,Latitude,Parameter,0.02,0.01375,0.01,0.00445,0.0021,0.001,0.0005,0.000404,0.0002,0.0001,Ref No.,Location,Prov.
-121.283,51.65,1,0.0114,0.0143,0.0172,0.0271,0.0398,0.0564,0.0761,0.0828,0.1085,0.1395,1,100 Mile House,BC
-122.329,49.052,1,0.043,0.0559,0.0693,0.1129,0.1689,0.2403,0.3211,0.3485,0.4533,0.5736,2,Abbotsford,BC
-121.77,49.23,1,0.0308,0.0397,0.0487,0.0786,0.1164,0.1658,0.2237,0.2444,0.3198,0.4087,3,Agassiz,BC
-124.8,49.27,1,0.0441,0.0571,0.071,0.1253,0.2168,0.3597,0.5317,0.594,0.8033,1.0356,4,Alberni,BC
-121.28,50.72,1,0.0147,0.0185,0.0225,0.0357,0.0532,0.0768,0.1047,0.1142,0.151,0.1941,5,Ashcroft,BC
-121.4,57.38,1,0.0047,0.0061,0.0076,0.0131,0.0207,0.0314,0.0446,0.0493,0.068,0.0917,6,Beatton River,BC
-125.75,54.23,1,0.0146,0.0174,0.0201,0.0281,0.0374,0.0487,0.0617,0.0663,0.0838,0.1061,7,Burns Lake,BC
-121.32,50.8,1,0.0144,0.0183,0.0221,0.0351,0.0523,0.0754,0.1027,0.112,0.1481,0.1902,8,Cache Creek,BC
-125.24,50.02,1,0.0381,0.0483,0.0591,0.0993,0.1636,0.2577,0.3677,0.4072,0.5434,0.7001,9,Campbell River,BC
-119.12,49.5,1,0.012,0.0153,0.0186,0.0295,0.0434,0.0613,0.0821,0.0894,0.1167,0.1492,10,Carmi,BC
-117.67,49.32,1,0.0102,0.0132,0.0162,0.0257,0.0372,0.0515,0.0681,0.0738,0.0956,0.1224,11,Castlegar,BC
-121.63,55.7,1,0.005,0.0064,0.008,0.0139,0.0235,0.0386,0.0595,0.0676,0.1008,0.1455,12,Chetwynd,BC
-121.95,49.167,1,0.0343,0.0445,0.0547,0.0885,0.132,0.1878,0.2536,0.2764,0.3615,0.4631,13,Chilliwack,BC
-124.93,49.68,1,0.0394,0.0502,0.0617,0.1051,0.1755,0.2818,0.4103,0.4536,0.6153,0.7909,14,Comox,BC
-124.98,49.68,1,0.0394,0.0503,0.0618,0.1053,0.1766,0.2854,0.4167,0.4599,0.6243,0.8024,15,Courtenay,BC
-115.77,49.5,1,0.0106,0.0142,0.0179,0.0297,0.044,0.0618,0.082,0.089,0.1156,0.1478,16,Cranbrook,BC
-117.55,49.45,1,0.01,0.013,0.0159,0.0254,0.0367,0.0509,0.0673,0.073,0.0945,0.1212,17,Crescent Valley,BC
-123.65,48.87,1,0.0633,0.0841,0.1063,0.1825,0.2817,0.4072,0.5469,0.5975,0.7713,0.9619,18,Crofton,BC
-120.23,55.77,1,0.0037,0.0049,0.0063,0.0118,0.0204,0.0329,0.0489,0.0549,0.0787,0.1092,19,Dawson Creek,BC
-122.3,51.58,1,0.0139,0.0174,0.0209,0.0326,0.0481,0.0687,0.0929,0.1017,0.1333,0.1705,20,Dog Creek,BC
-123.7,48.78,1,0.0644,0.0857,0.1082,0.1866,0.2913,0.4266,0.5776,0.631,0.8168,1.0282,21,Duncan,BC
