NBCC PGV values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-123.03,54.98,PGV,0.0101,0.0134,0.0165,0.0264,0.0381,0.0528,0.0706,0.077,0.1033,0.1403,42,McLeod Lake,BC
-120.783,50.1,PGV,0.0159,0.0205,0.0254,0.0425,0.0666,0.1013,0.1447,0.1602,0.2185,0.2866,43,Merritt,BC
-122.3,49.13,PGV,0.0457,0.0601,0.0751,0.1259,0.1931,0.2806,0.3813,0.4179,0.5467,0.6995,44,Mission City,BC
-117.58,49.08,PGV,0.0094,0.0125,0.0156,0.0259,0.0397,0.0583,0.0811,0.0892,0.1202,0.1573,45,Montrose,BC
-117.8,50.23,PGV,0.0086,0.0115,0.0144,0.024,0.0367,0.0541,0.0756,0.0831,0.1118,0.1465,46,Nakusp,BC
-123.93,49.17,PGV,0.0671,0.0903,0.1151,0.2037,0.3209,0.4667,0.6328,0.6876,0.8863,1.1104,47,Nanaimo,BC
-117.28,49.48,PGV,0.009,0.012,0.0151,0.0251,0.0381,0.0555,0.0767,0.084,0.1122,0.1464,48,Nelson,BC
-127.7,52.35,PGV,0.0402,0.0518,0.0637,0.1,0.1415,0.1892,0.2411,0.2575,0.3183,0.3844,49,Ocean Falls,BC
-119.5,49.03,PGV,0.0137,0.0177,0.0218,0.0363,0.0569,0.0867,0.1248,0.1389,0.1896,0.2491,50,Osoyoos,BC
-119.58,49.5,PGV,0.0129,0.0167,0.0206,0.0343,0.0537,0.0816,0.1168,0.1297,0.1778,0.2328,51,Penticton,BC
-124.8,49.233,PGV,0.0502,0.0667,0.0851,0.1575,0.2739,0.4423,0.6396,0.7057,0.9432,1.2032,52,Port Alberni,BC
-127.42,50.7,PGV,0.0637,0.0837,0.1051,0.1797,0.272,0.3825,0.5014,0.5417,0.6865,0.8422,53,Port Hardy,BC
-127.1,50.58,PGV,0.0616,0.0808,0.1014,0.1751,0.2701,0.3857,0.5113,0.5546,0.7083,0.8732,54,Port McNeill,BC
-124.52,49.83,PGV,0.0399,0.0523,0.0658,0.1171,0.1926,0.2966,0.4177,0.458,0.6126,0.7839,55,Powell River,BC
-122.75,53.92,PGV,0.0112,0.0146,0.0181,0.0288,0.0417,0.0574,0.0758,0.082,0.1063,0.1357,56,Prince George,BC
-130.32,54.32,PGV,0.0524,0.0679,0.0827,0.1277,0.1782,0.2347,0.2944,0.3141,0.3821,0.4585,57,Prince Rupert,BC
-120.51,49.5,PGV,0.0176,0.0229,0.0283,0.0474,0.0747,0.1138,0.1639,0.1821,0.2502,0.3297,58,Princeton,BC
-124.45,49.35,PGV,0.0529,0.0708,0.0903,0.1642,0.2708,0.4137,0.5752,0.6322,0.8299,1.0542,59,Qualicum Beach,BC
-122.48,52.98,PGV,0.0122,0.0158,0.0195,0.0314,0.0462,0.0653,0.0873,0.0951,0.1241,0.1585,60,Quesnel,BC
-118.2,50.98,PGV,0.0082,0.0111,0.0139,0.0236,0.0364,0.0537,0.0749,0.0822,0.1103,0.1441,61,Revelstoke,BC
-119.28,50.7,PGV,0.0097,0.0127,0.0158,0.0266,0.0415,0.0622,0.0876,0.0969,0.1314,0.1721,62,Salmon Arm,BC
-131.82,53.25,PGV,0.1316,0.1776,0.2208,0.3489,0.4883,0.649,0.8135,0.8665,1.0605,1.2669,63,Sandspit,BC
-123.4,48.65,PGV,0.0864,0.1154,0.1458,0.2495,0.3804,0.5438,0.7293,0.7911,1.0168,1.2619,64,Sidney,BC
-126.43,59.88,PGV,0.0195,0.026,0.0329,0.0583,0.0957,0.1516,0.2264,0.255,0.3711,0.5261,65,Smith River,BC
-127.167,54.783,PGV,0.0221,0.0285,0.0346,0.0536,0.0754,0.0998,0.1253,0.1342,0.1645,0.1986,66,Smithers,BC
-123.15,49.7,PGV,0.04,0.0528,0.0664,0.1145,0.1808,0.2671,0.3674,0.4033,0.5314,0.6833,67,Squamish,BC
-129.98,55.93,PGV,0.0308,0.0387,0.0466,0.0711,0.0995,0.1326,0.1681,0.1803,0.2224,0.2702,68,Stewart,BC
-120.69,56.2,PGV,0.0037,0.0049,0.0063,0.0117,0.0204,0.0338,0.0519,0.059,0.0877,0.1272,69,Taylor,BC
-128.6,54.52,PGV,0.0325,0.0419,0.0509,0.0793,0.1111,0.148,0.1871,0.1996,0.2464,0.2973,70,Terrace,BC
-125.88,49.12,PGV,0.0443,0.0572,0.0718,0.1387,0.2924,0.5526,0.8461,0.9437,1.2803,1.6443,71,Tofino,BC
-117.7,49.1,PGV,0.0095,0.0126,0.0156,0.026,0.0398,0.0588,0.0821,0.0904,0.122,0.16,72,Trail,BC
-125.55,48.93,PGV,0.0432,0.0562,0.0707,0.1339,0.2741,0.5404,0.8466,0.9473,1.2922,1.6625,73,Ucluelet,BC
-122.92,49.28,PGV,0.0529,0.0703,0.0884,0.1519,0.2352,0.3396,0.4603,0.5005,0.6543,0.8265,74,Burnaby (Simon Fraser Univ.),BC
-122.733,49.1,PGV,0.0568,0.0754,0.0946,0.1605,0.2464,0.3536,0.4765,0.5183,0.6751,0.8503,75,Cloverdale,BC
-122.6,49.22,PGV,0.0487,0.0645,0.0808,0.1371,0.2104,0.3067,0.4158,0.4529,0.593,0.7543,76,Haney,BC
-123.08,49.08,PGV,0.0657,0.0875,0.1103,0.1889,0.2892,0.4143,0.5522,0.6023,0.776,0.9706,77,Ladner,BC
-122.65,49.1,PGV,0.0548,0.0725,0.0909,0.1542,0.2367,0.3402,0.4596,0.4995,0.652,0.8232,78,Langley,BC
-122.92,49.22,PGV,0.0557,0.0741,0.0931,0.1596,0.2464,0.3545,0.4785,0.5207,0.6788,0.8555,79,New Westminster,BC
-123.07,49.32,PGV,0.054,0.0719,0.0907,0.1565,0.2432,0.3511,0.4752,0.5172,0.675,0.8514,80,North Vancouver,BC
-123.1,49.17,PGV,0.0618,0.0822,0.1039,0.1788,0.2744,0.3942,0.5279,0.5755,0.7452,0.934,81,Richmond,BC
-122.79,49.163,PGV,0.0553,0.0735,0.0922,0.1572,0.242,0.3478,0.4696,0.5106,0.6661,0.8402,82,Surrey (88 Ave & 156 St.),BC
-123.12,49.25,PGV,0.0582,0.0777,0.0982,0.1693,0.2611,0.3762,0.5063,0.5517,0.7167,0.9006,83,Vancouver (city hall),BC
-123.14,49.234,PGV,0.0594,0.0792,0.1002,0.1726,0.266,0.383,0.5148,0.5612,0.7284,0.9139,84,Vancouver (Granville & 41 Ave),BC
-123.17,49.33,PGV,0.0552,0.0737,0.0931,0.1611,0.2501,0.3615,0.4885,0.532,0.6936,0.8738,85,West Vancouver,BC
-119.27,50.3,PGV,0.0104,0.0135,0.0167,0.028,0.0437,0.0659,0.0935,0.1036,0.141,0.1849,86,Vernon,BC
-123.32,48.42,PGV,0.0892,0.1186,0.1495,0.2561,0.3934,0.5664,0.7638,0.8263,1.0639,1.3283,87,Victoria Gonzales Height,BC
-123.33,48.47,PGV,0.0892,0.1187,0.1497,0.256,0.3925,0.5637,0.7587,0.8211,1.0568,1.3187,88,Victoria Mt Tolmie,BC
-123.37,48.43,PGV,0.0888,0.1183,0.1492,0.2561,0.3945,0.5698,0.7691,0.8326,1.073,1.3418,89,Victoria,BC
-122.15,52.133,PGV,0.0132,0.0171,0.021,0.0343,0.0518,0.0756,0.1037,0.1133,0.1505,0.194,90,Williams Lake,BC
-124.2,48.88,PGV,0.0704,0.0948,0.1211,0.2187,0.3555,0.5362,0.7451,0.8124,1.0618,1.3385,91,Youbou,BC
-113.28,54.72,PGV,0.0018,0.0027,0.0036,0.0069,0.0121,0.0191,0.0283,0.0317,0.0454,0.0636,92,Athabasca,AB
-115.57,51.17,PGV,0.0072,0.0103,0.0134,0.0242,0.0392,0.0605,0.0883,0.0989,0.1426,0.2029,93,Banff,AB
-114.4,54.13,PGV,0.0024,0.0036,0.0047,0.0096,0.0165,0.0266,0.0404,0.0458,0.0691,0.1039,94,Barrhead,AB
-119.43,55.22,PGV,0.0039,0.0054,0.0071,0.0138,0.0234,0.0373,0.056,0.0633,0.0932,0.1349,95,Beaverlodge,AB
-111.88,50.58,PGV,0.0048,0.0067,0.0089,0.0156,0.0243,0.036,0.0511,0.0569,0.0809,0.1154,96,Brooks,AB
-114.08,51.05,PGV,0.0063,0.0089,0.0116,0.0203,0.032,0.048,0.0687,0.0765,0.108,0.151,97,Calgary,AB
-114.65,54.13,PGV,0.0026,0.0037,0.0049,0.0101,0.0174,0.028,0.0426,0.0483,0.0729,0.1097,98,Campsie,AB
-112.83,53.02,PGV,0.0029,0.004,0.0051,0.0097,0.016,0.0251,0.0374,0.0422,0.0621,0.0904,99,Camrose,AB
-113.3,49.2,PGV,0.0113,0.0157,0.0201,0.0349,0.0536,0.0785,0.1085,0.1194,0.1637,0.2229,100,Cardston,AB
-113.58,50.03,PGV,0.0083,0.0117,0.015,0.0258,0.0397,0.0582,0.0814,0.09,0.1254,0.174,101,Claresholm,AB
-110.17,54.45,PGV,0.0012,0.0018,0.0025,0.0049,0.0088,0.0145,0.0218,0.0247,0.0361,0.0517,102,Cold Lake,AB
-114.5,49.63,PGV,0.0107,0.0146,0.0187,0.0322,0.0493,0.0723,0.1008,0.1114,0.1549,0.2148,103,Coleman,AB
-111.45,52.08,PGV,0.0032,0.0042,0.0053,0.0098,0.0154,0.023,0.0326,0.0362,0.0506,0.0696,104,Coronation,AB
-114.08,49.57,PGV,0.0108,0.0149,0.019,0.0327,0.0502,0.0736,0.1027,0.1135,0.1575,0.218,105,Cowley,AB
-112.7,51.47,PGV,0.0044,0.0059,0.0078,0.014,0.0221,0.0335,0.0488,0.0548,0.08,0.1164,106,Drumheller,AB
-113.47,53.55,PGV,0.0028,0.0039,0.005,0.0097,0.0162,0.026,0.0394,0.0447,0.0677,0.1022,107,Edmonton,AB
-116.43,53.58,PGV,0.0042,0.0059,0.0079,0.0154,0.026,0.0409,0.0603,0.0676,0.0971,0.1375,108,Edson,AB
-111.47,58.45,PGV,0.0008,0.0012,0.0017,0.0039,0.0073,0.0128,0.02,0.0227,0.0344,0.0509,109,Embarras Portage,AB
-118.38,56.07,PGV,0.0027,0.0038,0.005,0.0101,0.0177,0.0291,0.0448,0.0509,0.0772,0.1151,110,Fairview,AB
-113.42,49.72,PGV,0.009,0.0126,0.0161,0.0279,0.0431,0.063,0.0876,0.0968,0.1336,0.1838,111,Fort MacLeod,AB
-111.38,56.73,PGV,0.0011,0.0016,0.0022,0.0045,0.0081,0.0137,0.0209,0.0237,0.0352,0.0515,112,Fort McMurray,AB
-113.22,53.72,PGV,0.0026,0.0036,0.0046,0.0088,0.0148,0.0232,0.0343,0.0385,0.0554,0.0782,113,Fort Saskatchewan,AB
-116,58.4,PGV,0.002,0.0028,0.0035,0.0063,0.0106,0.0165,0.0242,0.0271,0.039,0.0556,114,Fort Vermilion,AB
-118.8,55.17,PGV,0.0035,0.0048,0.0063,0.0124,0.0214,0.0347,0.0525,0.0594,0.0877,0.127,115,Grande Prairie,AB
-118.73,58.83,PGV,0.0035,0.0045,0.0057,0.0101,0.0158,0.0236,0.0333,0.0368,0.051,0.0694,116,Habay,AB
-111.3,52.67,PGV,0.0027,0.0037,0.0046,0.0083,0.0135,0.0204,0.0294,0.0327,0.0461,0.064,117,Hardisty,AB
-113.87,50.58,PGV,0.0071,0.0101,0.0129,0.0224,0.0348,0.0517,0.073,0.0809,0.113,0.1564,118,High River,AB
-117.58,53.4,PGV,0.0059,0.0085,0.0115,0.0219,0.0366,0.0581,0.0868,0.0981,0.1451,0.2108,119,Hinton,AB
-118.08,52.88,PGV,0.007,0.0101,0.0132,0.0244,0.0399,0.0622,0.0914,0.1026,0.149,0.2133,120,Jasper,AB
-117.62,57.75,PGV,0.0023,0.0033,0.0042,0.0076,0.0127,0.0197,0.0288,0.0322,0.0459,0.0641,121,Keg River,AB
-111.97,54.77,PGV,0.0015,0.0022,0.0031,0.0058,0.0103,0.0164,0.0245,0.0275,0.0399,0.0566,122,Lac la Biche,AB
-113.73,52.47,PGV,0.0038,0.0052,0.0068,0.0128,0.021,0.033,0.0491,0.0554,0.0817,0.1193,123,Lacombe,AB
-112.82,49.7,PGV,0.0078,0.0112,0.0143,0.0247,0.0377,0.0546,0.0751,0.0823,0.1108,0.1479,124,Lethbridge,AB
-117.62,56.92,PGV,0.0018,0.0028,0.0037,0.0075,0.0134,0.0215,0.0322,0.0361,0.0523,0.0738,125,Manning,AB
-110.67,50.05,PGV,0.0044,0.006,0.0079,0.0142,0.0216,0.0313,0.0429,0.0469,0.063,0.0835,126,Medicine Hat,AB
