NBCC Sa(0.5) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
Longitude,Latitude,Parameter,0.02,0.01375,0.01,0.00445,0.0021,0.001,0.0005,0.000404,0.0002,0.0001,Ref No.,Location,Prov.
-121.283,51.65,0.5,0.0137,0.0176,0.0215,0.0348,0.0522,0.0754,0.1033,0.1132,0.1531,0.2053,1,100 Mile House,BC
-122.329,49.052,0.5,0.0847,0.1089,0.1331,0.21,0.3047,0.4201,0.5495,0.5964,0.7651,0.9615,2,Abbotsford,BC
-121.77,49.23,0.5,0.0563,0.0721,0.0875,0.137,0.1964,0.2704,0.354,0.3834,0.4929,0.6259,3,Agassiz,BC
-124.8,49.27,0.5,0.0805,0.1047,0.1307,0.23,0.3807,0.5931,0.8318,0.9118,1.1973,1.5121,4,Alberni,BC
-121.28,50.72,0.5,0.0201,0.0257,0.0314,0.0503,0.0752,0.1075,0.1465,0.1602,0.2135,0.2801,5,Ashcroft,BC
-121.4,57.38,0.5,0.0053,0.0075,0.01,0.0188,0.0315,0.0499,0.0742,0.0831,0.1191,0.1671,6,Beatton River,BC
-125.75,54.23,0.5,0.0131,0.0159,0.0186,0.0274,0.0384,0.0533,0.0725,0.0799,0.1114,0.1565,7,Burns Lake,BC
-121.32,50.8,0.5,0.0196,0.025,0.0306,0.0491,0.0735,0.1054,0.1436,0.1571,0.2094,0.2749,8,Cache Creek,BC
-125.24,50.02,0.5,0.062,0.0782,0.0952,0.1576,0.2507,0.3782,0.5259,0.5788,0.767,0.9755,9,Campbell River,BC
-119.12,49.5,0.5,0.0163,0.0207,0.0252,0.0395,0.0577,0.0814,0.1096,0.1196,0.1586,0.2085,10,Carmi,BC
-117.67,49.32,0.5,0.0134,0.0171,0.0208,0.0328,0.0476,0.0671,0.0913,0.1004,0.1372,0.1882,11,Castlegar,BC
-121.63,55.7,0.5,0.0052,0.0075,0.0103,0.0215,0.0395,0.0677,0.1064,0.1211,0.1825,0.2659,12,Chetwynd,BC
-121.95,49.167,0.5,0.0646,0.0826,0.1008,0.1578,0.2276,0.3143,0.4132,0.4477,0.5774,0.7363,13,Chilliwack,BC
-124.93,49.68,0.5,0.0665,0.0849,0.1044,0.1764,0.2836,0.4329,0.6062,0.664,0.8757,1.1141,14,Comox,BC
-124.98,49.68,0.5,0.0665,0.0848,0.1041,0.1762,0.2842,0.436,0.614,0.6723,0.8873,1.1288,15,Courtenay,BC
-115.77,49.5,0.5,0.0162,0.0216,0.0271,0.0448,0.0665,0.094,0.1264,0.1382,0.1829,0.2396,16,Cranbrook,BC
-117.55,49.45,0.5,0.0132,0.0169,0.0206,0.0325,0.0474,0.0671,0.0915,0.1005,0.1376,0.1889,17,Crescent Valley,BC
-123.65,48.87,0.5,0.1369,0.1797,0.2232,0.3662,0.5381,0.747,0.9671,1.0424,1.302,1.5884,18,Crofton,BC
-120.23,55.77,0.5,0.0044,0.0067,0.0095,0.0196,0.0347,0.0571,0.0866,0.0978,0.1427,0.2021,19,Dawson Creek,BC
-122.3,51.58,0.5,0.017,0.0217,0.0265,0.0428,0.0646,0.0932,0.1275,0.1399,0.1869,0.2458,20,Dog Creek,BC
-123.7,48.78,0.5,0.1397,0.1832,0.2281,0.3756,0.5559,0.7753,1.0088,1.0833,1.3637,1.6623,21,Duncan,BC
-115.12,49.3,0.5,0.02,0.0271,0.0341,0.057,0.0849,0.1196,0.16,0.1744,0.2281,0.2944,22,Elko,BC
-115.07,49.5,0.5,0.0186,0.0252,0.0318,0.0534,0.0808,0.116,0.1594,0.1754,0.2391,0.3245,23,Fernie,BC
-122.7,58.83,0.5,0.011,0.0146,0.0184,0.0308,0.0468,0.0682,0.0938,0.1032,0.1395,0.1862,24,Fort Nelson,BC
-120.85,56.25,0.5,0.0041,0.0062,0.0089,0.0188,0.0335,0.0551,0.0836,0.0943,0.1371,0.1928,25,Fort St. John,BC
-117.52,51.27,0.5,0.011,0.0149,0.019,0.0342,0.0561,0.0874,0.1277,0.1427,0.2021,0.2798,26,Glacier,BC
-116.97,51.3,0.5,0.0112,0.0155,0.0202,0.0378,0.0643,0.1032,0.1542,0.1738,0.2533,0.3604,27,Golden,BC
-118.45,49.03,0.5,0.0149,0.0189,0.0229,0.0357,0.0518,0.0731,0.0988,0.1082,0.1456,0.1956,28,Grand Forks,BC
-118.68,49.1,0.5,0.0156,0.0197,0.0239,0.0373,0.0543,0.0767,0.1035,0.1131,0.1512,0.2011,29,Greenwood,BC
-121.44,49.38,0.5,0.0438,0.0559,0.0681,0.1064,0.1533,0.212,0.2802,0.3043,0.3931,0.5029,30,Hope,BC
-120.32,50.67,0.5,0.016,0.0204,0.0249,0.0396,0.0585,0.0829,0.1121,0.1224,0.1627,0.2138,31,Kamloops,BC
-116.92,49.92,0.5,0.0127,0.0165,0.0204,0.0332,0.0495,0.0715,0.0988,0.1089,0.1491,0.2022,32,Kaslo,BC
-119.48,49.88,0.5,0.0165,0.021,0.0255,0.0401,0.0588,0.0828,0.1114,0.1215,0.1609,0.2108,33,Kelowna,BC
-115.98,49.68,0.5,0.0149,0.0198,0.0248,0.0408,0.0611,0.0871,0.1186,0.13,0.1747,0.232,34,Kimberley,BC
-128.63,54.05,0.5,0.0339,0.0408,0.0473,0.0678,0.092,0.1216,0.1551,0.1667,0.2105,0.2648,35,Kitimat Plant,BC
-128.65,54.07,0.5,0.034,0.0408,0.0474,0.0679,0.0921,0.1217,0.1552,0.1669,0.2106,0.2648,36,Kitimat Townsite,BC
-121.93,50.68,0.5,0.0245,0.0314,0.0385,0.0629,0.0953,0.1395,0.1939,0.2139,0.294,0.4005,37,Lillooet,BC
-121.57,50.23,0.5,0.0281,0.036,0.0441,0.0707,0.1052,0.151,0.207,0.2276,0.3082,0.4141,38,Lytton,BC
-123.08,55.3,0.5,0.0061,0.0084,0.0109,0.0211,0.038,0.065,0.1022,0.1163,0.1758,0.2569,39,Mackenzie,BC
-132.1,54.02,0.5,0.1417,0.1764,0.2091,0.3117,0.4272,0.5569,0.6992,0.747,0.9099,1.0938,40,Masset,BC
-120.17,53.3,0.5,0.0087,0.0124,0.0165,0.032,0.056,0.093,0.1447,0.1648,0.2494,0.3659,41,McBride,BC
-123.03,54.98,0.5,0.0064,0.0087,0.0113,0.021,0.0368,0.0619,0.0964,0.1096,0.1646,0.2404,42,McLeod Lake,BC
-120.783,50.1,0.5,0.0232,0.0296,0.036,0.0571,0.0839,0.1187,0.1602,0.1751,0.2312,0.3013,43,Merritt,BC
-122.3,49.13,0.5,0.0784,0.1006,0.1225,0.1937,0.2802,0.3861,0.5062,0.5484,0.7054,0.8892,44,Mission City,BC
-117.58,49.08,0.5,0.0138,0.0176,0.0214,0.0336,0.0487,0.0683,0.0924,0.1013,0.1379,0.1887,45,Montrose,BC
-117.8,50.23,0.5,0.0119,0.0154,0.0189,0.0306,0.0457,0.0662,0.092,0.1017,0.1405,0.1922,46,Nakusp,BC
-123.93,49.17,0.5,0.1137,0.1501,0.1881,0.3165,0.4735,0.6656,0.87,0.9399,1.1839,1.4582,47,Nanaimo,BC
-117.28,49.48,0.5,0.0132,0.017,0.0208,0.0331,0.0483,0.0685,0.0933,0.1025,0.1399,0.1912,48,Nelson,BC
-127.7,52.35,0.5,0.0432,0.0515,0.0599,0.0844,0.113,0.1473,0.1854,0.1983,0.2473,0.306,49,Ocean Falls,BC
