#,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:10:21', checksum=1722803090, kind='mean', investigation_time=50.0"
lon,lat,0.1~SA(0.2),0.1~SA(1.0),0.1~SA(2.0),0.02~SA(0.2),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82000,53.25000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32000,54.32000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.65000,54.07000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.898493E-01,2.703383E-01,1.924304E-01
-125.88000,49.12000,0.000000E+00,0.000000E+00,0.000000E+00,1.470885E+00,8.957642E-01,5.527565E-01
-125.24000,50.02000,0.000000E+00,0.000000E+00,0.000000E+00,4.119830E-01,3.500909E-01,2.397621E-01
-124.80000,49.23300,0.000000E+00,0.000000E+00,0.000000E+00,8.036923E-01,5.789214E-01,3.717057E-01
-123.93000,49.17000,0.000000E+00,0.000000E+00,0.000000E+00,5.363368E-01,4.269885E-01,2.870260E-01
-123.40000,48.65000,0.000000E+00,0.000000E+00,0.000000E+00,5.987629E-01,4.636388E-01,3.072121E-01
-123.37000,48.43000,0.000000E+00,0.000000E+00,0.000000E+00,7.231672E-01,5.369897E-01,3.460940E-01
-123.15000,49.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.216994E-01,2.214603E-01,1.622803E-01
-123.12000,49.25000,0.000000E+00,0.000000E+00,0.000000E+00,3.042965E-01,2.830837E-01,2.000863E-01
-122.32900,49.05200,0.000000E+00,0.000000E+00,0.000000E+00,2.253758E-01,2.242932E-01,1.640718E-01
-121.95000,49.16700,0.000000E+00,0.000000E+00,0.000000E+00,1.688219E-01,1.809929E-01,1.379758E-01
-120.32000,50.67000,0.000000E+00,0.000000E+00,0.000000E+00,3.618326E-02,5.595127E-02,5.278510E-02
-119.58000,49.50000,0.000000E+00,0.000000E+00,0.000000E+00,4.672251E-02,6.787229E-02,6.103925E-02
-119.48000,49.88000,0.000000E+00,0.000000E+00,0.000000E+00,3.737205E-02,5.702838E-02,5.354542E-02
-114.08000,51.05000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
