SWCAN_COLLAPSE Mean SA[1.0] Hazard (g)
 
---OpenQuake---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Tofino, BC,1.0218,1.0044,0.9924,0.9642,0.9382,0.9378,0.9576,0.9590,0.9619,0.9627
Campbell River, BC,1.0363,1.0155,1.0019,0.9780,0.9738,0.9736,0.9720,0.9769,0.9730,0.9852
Port Alberni, BC,1.0133,0.9983,0.9914,0.9773,0.9702,0.9663,0.9712,0.9875,0.9867,0.9877
Nanaimo, BC,1.0016,0.9949,0.9916,0.9840,0.9827,0.9780,0.9801,0.9762,0.9874,0.9887
Sidney, BC,1.0077,1.0015,0.9988,0.9905,0.9950,1.0011,1.0006,1.0078,1.0062,1.0154
Victoria, BC,1.0072,1.0019,0.9975,0.9857,0.9885,0.9891,0.9956,0.9948,0.9958,0.9940
Squamish, BC,1.0077,0.9974,0.9899,0.9820,0.9792,0.9785,0.9801,0.9841,0.9833,0.9804
Vancouver (city hall), BC,1.0011,0.9975,0.9915,0.9871,0.9825,0.9876,0.9842,0.9933,0.9859,0.9957
Abbotsford, BC,1.0108,0.9959,0.9923,0.9841,0.9859,0.9890,0.9879,0.9860,0.9909,0.9905
Chilliwack, BC,1.0151,1.0037,0.9933,0.9871,0.9881,0.9886,0.9931,0.9903,0.9939,0.9991
Kamloops, BC,1.2517,1.1860,1.1421,1.0598,1.0253,1.0075,0.9989,0.9976,0.9962,0.9957
Penticton, BC,1.1691,1.1151,1.0805,1.0259,0.9947,0.9817,0.9741,0.9732,0.9709,0.9719
Kelowna, BC,1.2024,1.1439,1.1084,1.0433,1.0111,0.9970,0.9881,0.9860,0.9850,0.9850
Calgary, AB,1.3009,1.2406,1.1889,1.0824,1.0385,1.0181,1.0112,1.0082,1.0113,1.0179
Edmonton, AB,0.9667,1.3333,1.5604,1.2799,1.1390,1.0761,1.0430,1.0370,1.0285,1.0317

 
---% Difference---	GSCFRISK / OQ
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,-5.47,-5.92,-6.35,-6.64,-6.60,-7.29,-6.43,-6.83,-5.61,-6.06
Queen Charlotte City, BC,-13.32,-14.87,-15.40,-15.97,-15.35,-13.52,-12.59,-12.62,-11.73,-11.31
Sandspit, BC,-10.64,-11.97,-13.00,-13.13,-12.84,-12.65,-11.97,-11.41,-10.85,-10.10
Prince Rupert, BC,0.68,-1.08,-0.87,-1.97,-2.41,-2.79,-3.56,-3.26,-3.06,-2.85
Kitimat Townsite, BC,4.51,2.13,1.64,-0.45,-1.74,-2.69,-3.14,-3.25,-3.19,-3.33
Port Hardy, BC,2.39,1.21,0.39,-1.09,-1.86,-2.54,-3.04,-2.99,-3.67,-3.36
Tofino, BC,2.16,0.44,-0.77,-3.65,-6.38,-6.41,-4.33,-4.18,-3.88,-3.80
Campbell River, BC,3.57,1.54,0.19,-2.22,-2.66,-2.67,-2.84,-2.33,-2.73,-1.49
Port Alberni, BC,1.32,-0.17,-0.87,-2.29,-3.02,-3.43,-2.92,-1.26,-1.33,-1.23
Nanaimo, BC,0.16,-0.51,-0.84,-1.61,-1.74,-2.23,-2.01,-2.41,-1.27,-1.13
Sidney, BC,0.77,0.15,-0.12,-0.95,-0.50,0.11,0.06,0.78,0.62,1.53
Victoria, BC,0.72,0.19,-0.25,-1.44,-1.16,-1.10,-0.44,-0.53,-0.42,-0.60
Squamish, BC,0.77,-0.26,-1.02,-1.82,-2.10,-2.17,-2.01,-1.60,-1.69,-1.98
Vancouver (city hall), BC,0.11,-0.25,-0.85,-1.30,-1.76,-1.25,-1.59,-0.67,-1.42,-0.43
Abbotsford, BC,1.07,-0.41,-0.77,-1.60,-1.42,-1.10,-1.21,-1.41,-0.91,-0.96
Chilliwack, BC,1.50,0.37,-0.68,-1.29,-1.20,-1.15,-0.69,-0.97,-0.61,-0.09
Kamloops, BC,22.36,17.02,13.27,5.81,2.50,0.75,-0.11,-0.24,-0.38,-0.43
Penticton, BC,15.59,10.89,7.74,2.55,-0.53,-1.85,-2.62,-2.71,-2.96,-2.85
Kelowna, BC,18.38,13.42,10.28,4.24,1.11,-0.30,-1.20,-1.41,-1.52,-1.52
Calgary, AB,26.15,21.48,17.26,7.92,3.78,1.79,1.12,0.81,1.12,1.77
Edmonton, AB,-3.39,28.57,43.77,24.55,12.99,7.33,4.21,3.64,2.81,3.12
