CHV_NBCC Mean SA[1.0] Hazard (g)

---OpenQuake---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0030,0.0036,0.0054,0.0127,0.0229,0.0362,0.0510,0.0559,0.0743,0.0941
Quebec,0.0041,0.0068,0.0100,0.0225,0.0404,0.0636,0.0906,0.1003,0.1346,0.1742
Malbaie,0.0196,0.0325,0.0476,0.1085,0.2055,0.3525,0.5500,0.6206,0.9037,1.2521
Riviere-du-Loup,0.0108,0.0186,0.0275,0.0633,0.1197,0.2078,0.3293,0.3770,0.5707,0.8229


---2015 NBCC---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0024,0.0039,0.0055,0.0129,0.0233,0.0361,0.0505,0.0556,0.0737,0.0935
Quebec,0.0044,0.0071,0.0106,0.0232,0.0408,0.0641,0.0907,0.1002,0.1345,0.1742
Malbaie,0.0222,0.0355,0.0507,0.1118,0.2079,0.3539,0.5479,0.6223,0.9018,1.2473
Riviere-du-Loup,0.0122,0.0201,0.0292,0.0651,0.1210,0.2075,0.3280,0.3742,0.5646,0.8142


---Ratios---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.8000,1.0837,1.0152,1.0166,1.0170,0.9973,0.9903,0.9946,0.9926,0.9939
Quebec,1.0786,1.0403,1.0578,1.0291,1.0105,1.0082,1.0015,0.9989,0.9995,0.9999
Malbaie,1.1324,1.0908,1.0650,1.0305,1.0119,1.0040,0.9962,1.0027,0.9979,0.9962
Riviere-du-Loup,1.1250,1.0834,1.0612,1.0283,1.0109,0.9986,0.9959,0.9924,0.9893,0.9894


---% Difference---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,-22.22,8.04,1.51,1.65,1.68,-0.27,-0.97,-0.54,-0.74,-0.61
Quebec,7.57,3.95,5.62,2.87,1.04,0.82,0.15,-0.11,-0.05,-0.01
Malbaie,12.42,8.68,6.29,3.00,1.18,0.40,-0.38,0.27,-0.21,-0.38
Riviere-du-Loup,11.76,8.01,5.94,2.79,1.08,-0.14,-0.41,-0.76,-1.07,-1.06
