CHV_NBCC Mean SA[0.2] Hazard (g)

---OpenQuake---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0112,0.0163,0.0216,0.0393,0.0604,0.0856,0.1129,0.1217,0.1545,0.1900
Quebec,0.0272,0.0389,0.0508,0.0896,0.1377,0.1964,0.2607,0.2841,0.3628,0.4529
Malbaie,0.1537,0.2274,0.3040,0.5669,0.9149,1.3868,1.9532,2.1607,2.9070,3.5000
Riviere-du-Loup,0.0768,0.1165,0.1584,0.3053,0.5092,0.7990,1.1680,1.3029,1.8340,2.4992


---2015 NBCC---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0120,0.0171,0.0223,0.0392,0.0601,0.0845,0.1111,0.1199,0.1517,0.1868
Quebec,0.0289,0.0403,0.0517,0.0896,0.1367,0.1930,0.2565,0.2778,0.3547,0.4441
Malbaie,0.1688,0.2432,0.3187,0.5788,0.9259,1.3970,1.9606,2.1606,2.9139,3.7640
Riviere-du-Loup,0.0874,0.1297,0.1743,0.3318,0.5536,0.8696,1.2697,1.4181,1.9809,2.6679


---Ratios---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,1.0704,1.0468,1.0309,0.9976,0.9955,0.9876,0.9844,0.9849,0.9822,0.9831
Quebec,1.0608,1.0352,1.0174,1.0001,0.9924,0.9827,0.9837,0.9779,0.9778,0.9806
Malbaie,1.0983,1.0696,1.0484,1.0211,1.0120,1.0074,1.0038,1.0000,1.0024,1.0754
Riviere-du-Loup,1.1375,1.1133,1.1003,1.0868,1.0871,1.0883,1.0871,1.0884,1.0801,1.0675


---% Difference---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,6.80,4.57,3.04,-0.24,-0.45,-1.24,-1.57,-1.52,-1.80,-1.71
Quebec,5.90,3.46,1.73,0.01,-0.76,-1.75,-1.64,-2.23,-2.25,-1.96
Malbaie,9.37,6.72,4.73,2.09,1.19,0.73,0.38,-0.00,0.24,7.27
Riviere-du-Loup,12.86,10.72,9.55,8.32,8.35,8.46,8.34,8.46,7.70,6.53
