#,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:19:52', checksum=1118768865, kind='mean', investigation_time=50.0"
lon,lat,0.1~SA(0.2),0.1~SA(1.0),0.1~SA(2.0),0.02~SA(0.2),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82000,53.25000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32000,54.32000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.65000,54.07000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.700829E-01,2.525961E-01,1.809779E-01
-125.88000,49.12000,0.000000E+00,0.000000E+00,0.000000E+00,1.398765E+00,8.605080E-01,5.289742E-01
-125.24000,50.02000,0.000000E+00,0.000000E+00,0.000000E+00,3.993939E-01,3.386595E-01,2.329545E-01
-124.80000,49.23300,0.000000E+00,0.000000E+00,0.000000E+00,7.874947E-01,5.676078E-01,3.635924E-01
-123.93000,49.17000,0.000000E+00,0.000000E+00,0.000000E+00,5.261108E-01,4.209419E-01,2.834103E-01
-123.40000,48.65000,0.000000E+00,0.000000E+00,0.000000E+00,5.925161E-01,4.589405E-01,3.045986E-01
-123.37000,48.43000,0.000000E+00,0.000000E+00,0.000000E+00,7.146127E-01,5.312049E-01,3.430266E-01
-123.15000,49.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.187030E-01,2.188172E-01,1.605520E-01
-123.12000,49.25000,0.000000E+00,0.000000E+00,0.000000E+00,3.008375E-01,2.795343E-01,1.978988E-01
-122.32900,49.05200,0.000000E+00,0.000000E+00,0.000000E+00,2.234323E-01,2.226338E-01,1.630013E-01
-121.95000,49.16700,0.000000E+00,0.000000E+00,0.000000E+00,1.674133E-01,1.796345E-01,1.370392E-01
-120.32000,50.67000,0.000000E+00,0.000000E+00,0.000000E+00,3.579792E-02,5.551439E-02,5.235290E-02
-119.58000,49.50000,0.000000E+00,0.000000E+00,0.000000E+00,4.636838E-02,6.744134E-02,6.073575E-02
-119.48000,49.88000,0.000000E+00,0.000000E+00,0.000000E+00,3.705566E-02,5.668752E-02,5.327621E-02
-114.08000,51.05000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
