#,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-11T11:00:18', checksum=2698779250, kind='mean', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,7.977974E-02,7.974572E-02,7.948413E-02,7.891599E-02,7.779040E-02,7.602727E-02,7.369303E-02,7.097661E-02,6.793211E-02,6.407713E-02,5.823599E-02,4.887089E-02,3.522075E-02,2.060463E-02,9.219429E-03,3.033763E-03,7.071487E-04,1.159190E-04,1.303443E-05,1.029038E-06,4.034590E-08,0.000000E+00
-125.88000,49.12000,0.00000,8.413489E-02,8.412538E-02,8.405187E-02,8.388671E-02,8.354259E-02,8.296179E-02,8.210461E-02,8.096763E-02,7.958071E-02,7.796118E-02,7.615199E-02,7.420289E-02,7.212339E-02,7.003812E-02,6.755379E-02,6.332008E-02,5.493197E-02,4.119293E-02,2.478088E-02,1.141945E-02,3.782388E-03,1.984891E-03
-125.24000,50.02000,0.00000,8.319242E-02,8.317438E-02,8.304079E-02,8.275417E-02,8.218493E-02,8.128056E-02,8.005053E-02,7.855686E-02,7.681817E-02,7.469923E-02,7.181555E-02,6.703248E-02,5.796082E-02,4.368660E-02,2.672282E-02,1.251241E-02,4.264785E-03,1.037537E-03,1.754448E-04,2.114098E-05,1.678543E-06,4.288090E-07
-124.80000,49.23300,0.00000,8.413489E-02,8.412620E-02,8.405945E-02,8.391087E-02,8.360592E-02,8.310371E-02,8.238492E-02,8.145525E-02,8.033725E-02,7.904875E-02,7.761767E-02,7.596580E-02,7.361094E-02,6.939750E-02,6.101975E-02,4.693470E-02,2.930767E-02,1.400810E-02,4.878137E-03,1.232928E-03,2.136730E-04,8.169765E-05
-123.93000,49.17000,0.00000,8.416802E-02,8.416041E-02,8.410124E-02,8.396878E-02,8.369611E-02,8.324774E-02,8.261064E-02,8.179159E-02,8.080032E-02,7.962535E-02,7.817516E-02,7.587271E-02,7.085208E-02,6.067020E-02,4.449483E-02,2.611452E-02,1.152781E-02,3.701204E-03,8.371192E-04,1.355858E-04,1.475170E-05,4.494836E-06
-123.40000,48.65000,0.00000,8.439987E-02,8.439589E-02,8.436183E-02,8.428221E-02,8.411238E-02,8.382009E-02,8.338407E-02,8.280512E-02,8.208979E-02,8.121664E-02,8.013360E-02,7.851254E-02,7.498129E-02,6.705720E-02,5.265419E-02,3.382954E-02,1.662933E-02,6.006053E-03,1.538267E-03,2.827719E-04,3.510708E-05,1.141719E-05
-123.37000,48.43000,0.00000,8.439987E-02,8.439817E-02,8.437958E-02,8.432927E-02,8.421009E-02,8.398769E-02,8.363515E-02,8.314765E-02,8.253455E-02,8.178502E-02,8.088209E-02,7.970688E-02,7.755586E-02,7.262285E-02,6.211389E-02,4.529081E-02,2.616824E-02,1.137000E-02,3.556724E-03,8.032763E-04,1.236667E-04,4.464796E-05
-123.15000,49.70000,0.00000,8.371628E-02,8.370172E-02,8.359407E-02,8.336845E-02,8.293346E-02,8.225428E-02,8.131000E-02,8.003400E-02,7.801485E-02,7.380774E-02,6.488422E-02,4.981880E-02,3.068355E-02,1.450937E-02,5.029885E-03,1.247666E-03,2.150136E-04,2.576719E-05,2.082825E-06,1.006055E-07,0.000000E+00,0.000000E+00
-123.12000,49.25000,0.00000,8.406864E-02,8.406042E-02,8.399455E-02,8.384575E-02,8.354065E-02,8.304447E-02,8.234672E-02,8.144585E-02,8.026797E-02,7.836150E-02,7.431530E-02,6.563058E-02,5.015215E-02,3.114540E-02,1.477905E-02,5.146249E-03,1.267631E-03,2.194129E-04,2.606943E-05,2.184822E-06,1.009191E-07,8.226156E-09
-122.32900,49.05200,0.00000,8.413489E-02,8.412589E-02,8.405801E-02,8.390909E-02,8.360773E-02,8.311860E-02,8.241848E-02,8.142738E-02,7.972509E-02,7.588939E-02,6.733073E-02,5.235922E-02,3.277338E-02,1.577554E-02,5.571367E-03,1.408254E-03,2.473691E-04,3.022261E-05,2.494526E-06,1.263193E-07,0.000000E+00,0.000000E+00
-121.95000,49.16700,0.00000,8.400238E-02,8.399171E-02,8.390941E-02,8.372908E-02,8.336784E-02,8.278096E-02,8.188123E-02,8.028226E-02,7.670094E-02,6.851552E-02,5.373956E-02,3.464640E-02,1.687213E-02,6.085722E-03,1.570584E-03,2.858053E-04,3.568675E-05,3.061479E-06,1.573411E-07,0.000000E+00,0.000000E+00,0.000000E+00
-120.32000,50.67000,0.00000,8.014628E-02,8.008982E-02,7.937427E-02,7.699145E-02,7.032041E-02,5.702851E-02,3.816933E-02,1.980387E-02,7.647404E-03,2.098840E-03,4.060857E-04,5.573892E-05,4.946659E-06,2.911257E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-119.58000,49.50000,0.00000,8.223122E-02,8.220237E-02,8.188955E-02,8.083267E-02,7.744726E-02,6.911323E-02,5.385127E-02,3.418312E-02,1.672095E-02,5.960901E-03,1.518397E-03,2.762083E-04,3.305524E-05,2.785528E-06,1.409757E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-119.48000,49.88000,0.00000,8.124507E-02,8.119507E-02,8.054654E-02,7.834347E-02,7.203515E-02,5.913613E-02,4.030536E-02,2.139979E-02,8.483561E-03,2.395830E-03,4.775889E-04,6.758373E-05,6.197476E-06,3.825933E-07,1.263377E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-114.08000,51.05000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
