# mean, investigation_time=50.0,imt=SA(2.0)
lon,lat,0.001:float32,0.003:float32,0.005:float32,0.007:float32,0.0098:float32,0.0137:float32,0.0192:float32,0.0269:float32,0.0376:float32,0.0527:float32,0.0738:float32,0.103:float32,0.145:float32,0.203:float32,0.284:float32,0.397:float32,0.556:float32,0.778:float32,1.09:float32,1.52:float32,2.13:float32,2.5:float32
-132.10001,54.02000,1.000000E+00,9.999943E-01,9.997638E-01,9.983862E-01,9.922923E-01,9.735497E-01,9.311753E-01,8.577065E-01,7.519856E-01,6.149724E-01,4.579783E-01,3.031274E-01,1.706600E-01,8.198091E-02,3.307194E-02,1.119989E-02,3.170332E-03,7.662426E-04,1.595586E-04,3.007041E-05,4.918553E-06,1.985395E-06
-132.08000,53.26000,1.000000E+00,9.999997E-01,9.999647E-01,9.996101E-01,9.974080E-01,9.888214E-01,9.657493E-01,9.206686E-01,8.511091E-01,7.565073E-01,6.386400E-01,5.018467E-01,3.522100E-01,2.166692E-01,1.133284E-01,4.947764E-02,1.767053E-02,5.164633E-03,1.221067E-03,2.402060E-04,3.762620E-05,1.452971E-05
-131.82001,53.25000,1.000000E+00,9.999994E-01,9.999388E-01,9.993901E-01,9.962452E-01,9.847265E-01,9.553682E-01,9.006239E-01,8.194024E-01,7.122883E-01,5.827550E-01,4.387165E-01,2.909130E-01,1.675075E-01,8.149948E-02,3.302175E-02,1.094821E-02,2.980755E-03,6.602185E-04,1.229809E-04,1.849658E-05,7.042948E-06
-130.32001,54.32000,9.999999E-01,9.996887E-01,9.960259E-01,9.844219E-01,9.524598E-01,8.859455E-01,7.754747E-01,6.266490E-01,4.601629E-01,3.006692E-01,1.730204E-01,8.735387E-02,3.751857E-02,1.427516E-02,4.830554E-03,1.474847E-03,4.046608E-04,1.003419E-04,2.201265E-05,4.314909E-06,6.944144E-07,2.655349E-07
-128.64999,54.07000,9.999978E-01,9.982699E-01,9.855407E-01,9.551349E-01,8.886275E-01,7.763235E-01,6.234246E-01,4.545266E-01,2.992266E-01,1.754093E-01,9.141318E-02,4.265941E-02,1.745521E-02,6.568431E-03,2.263112E-03,7.126323E-04,2.010183E-04,5.066628E-05,1.118338E-05,2.195861E-06,3.506633E-07,1.328882E-07
-127.42000,50.70000,1.000000E+00,9.999998E-01,9.999301E-01,9.989066E-01,9.910306E-01,9.577693E-01,8.733764E-01,7.350193E-01,5.713016E-01,4.124251E-01,2.787318E-01,1.759446E-01,1.001247E-01,5.135757E-02,2.303546E-02,8.837292E-03,2.815678E-03,7.388706E-04,1.564543E-04,2.739599E-05,3.756982E-06,1.348626E-06
-125.88000,49.12000,1.000000E+00,9.999943E-01,9.993503E-01,9.938116E-01,9.659483E-01,8.852635E-01,7.387657E-01,5.598516E-01,3.977375E-01,2.757266E-01,1.948235E-01,1.431991E-01,1.075415E-01,8.097453E-02,5.809344E-02,3.776646E-02,2.118958E-02,9.953259E-03,3.797589E-03,1.179729E-03,2.846584E-04,1.329794E-04
-125.24000,50.02000,1.000000E+00,9.999446E-01,9.973858E-01,9.833014E-01,9.334374E-01,8.245649E-01,6.632936E-01,4.898842E-01,3.422770E-01,2.320972E-01,1.559525E-01,1.033586E-01,6.459755E-02,3.733873E-02,1.913523E-02,8.434418E-03,3.093460E-03,9.329436E-04,2.269759E-04,4.578662E-05,7.413131E-06,2.936344E-06
-124.80000,49.23300,1.000000E+00,9.999708E-01,9.985341E-01,9.899431E-01,9.568567E-01,8.772812E-01,7.453251E-01,5.844531E-01,4.288038E-01,2.990549E-01,2.038305E-01,1.388882E-01,9.341425E-02,6.137614E-02,3.743054E-02,2.021968E-02,9.249907E-03,3.499504E-03,1.064827E-03,2.629552E-04,5.005534E-05,2.087715E-05
-123.93000,49.17000,1.000000E+00,9.999437E-01,9.982042E-01,9.899176E-01,9.621044E-01,8.988428E-01,7.922867E-01,6.533406E-01,5.050308E-01,3.665197E-01,2.521362E-01,1.655015E-01,1.013661E-01,5.805513E-02,3.009507E-02,1.370696E-02,5.285437E-03,1.693150E-03,4.383923E-04,9.308148E-05,1.542867E-05,6.078053E-06
-123.40000,48.65000,1.000000E+00,9.999554E-01,9.987569E-01,9.933285E-01,9.750233E-01,9.311596E-01,8.503812E-01,7.326553E-01,5.914642E-01,4.446287E-01,3.124808E-01,2.067332E-01,1.266116E-01,7.250410E-02,3.782537E-02,1.750742E-02,6.932582E-03,2.302433E-03,6.236862E-04,1.396749E-04,2.468406E-05,1.006601E-05
-123.37000,48.43000,1.000000E+00,9.999574E-01,9.988296E-01,9.937471E-01,9.765751E-01,9.350771E-01,8.575643E-01,7.425777E-01,6.022208E-01,4.543310E-01,3.206241E-01,2.140993E-01,1.339406E-01,7.955572E-02,4.367558E-02,2.148474E-02,9.093028E-03,3.232789E-03,9.366609E-04,2.232227E-04,4.162940E-05,1.732123E-05
