# mean, investigation_time=50.0,imt=SA(0.2)
lon,lat,0.001:float32,0.003:float32,0.005:float32,0.007:float32,0.0098:float32,0.0137:float32,0.0192:float32,0.0269:float32,0.0376:float32,0.0527:float32,0.0738:float32,0.103:float32,0.145:float32,0.203:float32,0.284:float32,0.397:float32,0.556:float32,0.778:float32,1.09:float32,1.52:float32,2.13:float32,2.5:float32
-132.10001,54.02000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999969E-01,9.999171E-01,9.989135E-01,9.920785E-01,9.650308E-01,8.962348E-01,7.651805E-01,5.820451E-01,3.803318E-01,2.080389E-01,9.357369E-02,3.512966E-02,1.140129E-02,3.480997E-03,9.995797E-04,5.399953E-04
-132.08000,53.26000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999842E-01,9.997335E-01,9.975433E-01,9.867034E-01,9.513109E-01,8.752878E-01,7.515144E-01,5.882171E-01,4.055026E-01,2.371098E-01,1.124446E-01,4.243168E-02,1.204708E-02,5.993071E-03
-131.82001,53.25000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999974E-01,9.999329E-01,9.990921E-01,9.933059E-01,9.704457E-01,9.096788E-01,8.001727E-01,6.455743E-01,4.651318E-01,2.877949E-01,1.476178E-01,6.037302E-02,1.957257E-02,4.818106E-03,2.265344E-03
-130.32001,54.32000,1.000000E+00,1.000000E+00,9.999982E-01,9.999369E-01,9.990491E-01,9.927274E-01,9.664862E-01,8.971194E-01,7.696661E-01,5.908000E-01,3.963447E-01,2.299877E-01,1.120346E-01,4.748051E-02,1.837138E-02,7.243768E-03,3.107179E-03,1.404481E-03,6.121018E-04,2.456472E-04,8.478183E-05,4.825956E-05
-128.64999,54.07000,1.000000E+00,9.999359E-01,9.974378E-01,9.859114E-01,9.486983E-01,8.661520E-01,7.302164E-01,5.578802E-01,3.828639E-01,2.347201E-01,1.298726E-01,6.629468E-02,3.222710E-02,1.656613E-02,9.033730E-03,4.986372E-03,2.642684E-03,1.311091E-03,5.920213E-04,2.410792E-04,8.388986E-05,4.790452E-05
-127.42000,50.70000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999708E-01,9.991219E-01,9.902511E-01,9.493114E-01,8.469509E-01,6.736229E-01,4.689957E-01,2.805038E-01,1.429764E-01,6.155280E-02,2.256450E-02,7.043094E-03,1.933601E-03,4.549531E-04,2.188488E-04
-125.88000,49.12000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999962E-01,9.997866E-01,9.961414E-01,9.710272E-01,8.866643E-01,7.311194E-01,5.484422E-01,3.839727E-01,2.654233E-01,1.857752E-01,1.334487E-01,9.661616E-02,6.692953E-02,4.103792E-02,2.105009E-02,8.421977E-03,4.957694E-03
-125.24000,50.02000,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999820E-01,9.995241E-01,9.945297E-01,9.683431E-01,8.935302E-01,7.585996E-01,5.910507E-01,4.307795E-01,2.945704E-01,1.919261E-01,1.168310E-01,6.523833E-02,3.287944E-02,1.507993E-02,6.350402E-03,2.509051E-03,8.843325E-04,5.134849E-04
-124.80000,49.23300,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999933E-01,9.998438E-01,9.981441E-01,9.878622E-01,9.523525E-01,8.729907E-01,7.487966E-01,5.992652E-01,4.450461E-01,3.137442E-01,2.111753E-01,1.347793E-01,7.882523E-02,4.062316E-02,1.764466E-02,6.402837E-03,1.870320E-03,9.736498E-04
-123.93000,49.17000,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999930E-01,9.999250E-01,9.994143E-01,9.965692E-01,9.849448E-01,9.500028E-01,8.754670E-01,7.587568E-01,6.079302E-01,4.501365E-01,3.044620E-01,1.859084E-01,1.003612E-01,4.729233E-02,1.908971E-02,6.674598E-03,1.956848E-03,1.031986E-03
