# mean, investigation_time=50.0,imt=SA(1.0)
lon,lat,0.003:float32,0.005:float32,0.007:float32,0.0098:float32,0.0137:float32,0.0192:float32,0.0269:float32,0.0376:float32,0.0527:float32,0.0738:float32,0.103:float32,0.145:float32,0.203:float32,0.284:float32,0.397:float32,0.556:float32,0.778:float32,1.09:float32,1.52:float32,2.13:float32,2.5:float32
-132.10001,54.02000,1.000000E+00,9.999999E-01,9.999973E-01,9.999493E-01,9.994606E-01,9.963573E-01,9.836401E-01,9.485104E-01,8.767041E-01,7.623491E-01,6.115403E-01,4.359406E-01,2.718928E-01,1.445765E-01,6.467441E-02,2.403444E-02,7.508466E-03,1.986660E-03,4.690448E-04,9.833759E-05,4.572493E-05
-132.08000,53.26000,1.000000E+00,1.000000E+00,9.999999E-01,9.999969E-01,9.999329E-01,9.992453E-01,9.951867E-01,9.807286E-01,9.452946E-01,8.810278E-01,7.863952E-01,6.588637E-01,5.096254E-01,3.526108E-01,2.117243E-01,1.068919E-01,4.470481E-02,1.520419E-02,4.268922E-03,9.505578E-04,4.320830E-04
-131.82001,53.25000,1.000000E+00,1.000000E+00,9.999998E-01,9.999928E-01,9.998689E-01,9.987051E-01,9.925154E-01,9.721677E-01,9.255056E-01,8.456641E-01,7.339848E-01,5.909064E-01,4.334830E-01,2.805645E-01,1.558627E-01,7.225659E-02,2.767724E-02,8.628772E-03,2.234746E-03,4.632698E-04,2.048163E-04
-130.32001,54.32000,9.999995E-01,9.999577E-01,9.995916E-01,9.972892E-01,9.870069E-01,9.535970E-01,8.759043E-01,7.437481E-01,5.686043E-01,3.856862E-01,2.304963E-01,1.175575E-01,5.228454E-02,2.025933E-02,6.956220E-03,2.136256E-03,6.010124E-04,1.550450E-04,3.779968E-05,8.395298E-06,4.006405E-06
-128.64999,54.07000,9.999816E-01,9.994382E-01,9.965914E-01,9.845767E-01,9.473909E-01,8.617780E-01,7.182636E-01,5.386209E-01,3.590331E-01,2.129338E-01,1.128406E-01,5.225648E-02,2.204646E-02,8.505114E-03,3.027388E-03,9.881645E-04,2.990139E-04,8.383362E-05,2.252633E-05,5.610455E-06,2.832682E-06
-127.42000,50.70000,1.000000E+00,1.000000E+00,9.999999E-01,9.999908E-01,9.997241E-01,9.963726E-01,9.756937E-01,9.075727E-01,7.724708E-01,5.951291E-01,4.192722E-01,2.671973E-01,1.555493E-01,8.099832E-02,3.705741E-02,1.452256E-02,4.835170E-03,1.344994E-03,3.201210E-04,6.315333E-05,2.772536E-05
-125.88000,49.12000,1.000000E+00,9.999999E-01,9.999924E-01,9.997580E-01,9.967008E-01,9.763106E-01,9.031646E-01,7.542896E-01,5.613664E-01,3.870990E-01,2.627493E-01,1.813093E-01,1.311892E-01,9.726225E-02,7.090238E-02,4.808089E-02,2.891072E-02,1.474079E-02,6.276758E-03,2.131830E-03,1.178826E-03
-125.24000,50.02000,1.000000E+00,9.999968E-01,9.998887E-01,9.983263E-01,9.870872E-01,9.409489E-01,8.289003E-01,6.576189E-01,4.721074E-01,3.180771E-01,2.086829E-01,1.327162E-01,8.196735E-02,4.728475E-02,2.461820E-02,1.116854E-02,4.352921E-03,1.437743E-03,4.151461E-04,1.039708E-04,5.216312E-05
-124.80000,49.23300,1.000000E+00,9.999984E-01,9.999449E-01,9.991061E-01,9.923056E-01,9.609560E-01,8.765814E-01,7.335756E-01,5.602783E-01,3.988861E-01,2.729958E-01,1.815479E-01,1.206348E-01,7.860512E-02,4.845332E-02,2.687286E-02,1.291639E-02,5.183808E-03,1.731816E-03,4.605795E-04,2.276158E-04
-123.93000,49.17000,1.000000E+00,9.999955E-01,9.999129E-01,9.989911E-01,9.929299E-01,9.683707E-01,9.053468E-01,7.950372E-01,6.484758E-01,4.933071E-01,3.534617E-01,2.360977E-01,1.485880E-01,8.639804E-02,4.545125E-02,2.099201E-02,8.366095E-03,2.808032E-03,8.039042E-04,1.902770E-04,9.093113E-05
-123.40000,48.65000,1.000000E+00,9.999974E-01,9.999545E-01,9.994878E-01,9.963611E-01,9.828728E-01,9.443209E-01,8.667105E-01,7.464188E-01,5.985414E-01,4.471635E-01,3.073948E-01,1.967736E-01,1.158357E-01,6.186387E-02,2.926892E-02,1.210343E-02,4.280320E-03,1.311023E-03,3.376437E-04,1.687122E-04
-123.37000,48.43000,1.000000E+00,9.999976E-01,9.999590E-01,9.995395E-01,9.967281E-01,9.844940E-01,9.488983E-01,8.754904E-01,7.587333E-01,6.119979E-01,4.597604E-01,3.187345E-01,2.074075E-01,1.257516E-01,7.020090E-02,3.515937E-02,1.549503E-02,5.841513E-03,1.891162E-03,5.065640E-04,2.555954E-04
-123.15000,49.70000,9.999957E-01,9.997420E-01,9.978258E-01,9.880227E-01,9.554056E-01,8.800032E-01,7.549307E-01,5.975139E-01,4.350643E-01,2.942568E-01,1.867021E-01,1.090641E-01,5.943407E-02,2.962716E-02,1.334463E-02,5.361085E-03,1.950540E-03,6.530862E-04,2.098528E-04,6.272168E-05,3.446614E-05
-123.12000,49.25000,9.999995E-01,9.999585E-01,9.995354E-01,9.966196E-01,9.837888E-01,9.454787E-01,8.655042E-01,7.420964E-01,5.895148E-01,4.343528E-01,2.981754E-01,1.872236E-01,1.084638E-01,5.683101E-02,2.652534E-02,1.080591E-02,3.844742E-03,1.195454E-03,3.398937E-04,8.794284E-05,4.536877E-05
-122.32900,49.05200,9.999915E-01,9.997131E-01,9.980852E-01,9.908488E-01,9.680190E-01,9.140722E-01,8.173130E-01,6.812768E-01,5.228469E-01,3.692966E-01,2.412635E-01,1.432485E-01,7.856368E-02,3.925472E-02,1.774786E-02,7.196525E-03,2.659408E-03,9.069690E-04,2.957782E-04,8.909597E-05,4.902468E-05
