# mean, investigation_time=50.0,imt=SA(1.0)
lon,lat,0.003:float32,0.005:float32,0.007:float32,0.0098:float32,0.0137:float32,0.0192:float32,0.0269:float32,0.0376:float32,0.0527:float32,0.0738:float32,0.103:float32,0.145:float32,0.203:float32,0.284:float32,0.397:float32,0.556:float32,0.778:float32,1.09:float32,1.52:float32,2.13:float32,2.5:float32
-132.10001,54.02000,1.000000E+00,9.999999E-01,9.999959E-01,9.999257E-01,9.992561E-01,9.952638E-01,9.797268E-01,9.384471E-01,8.567675E-01,7.310081E-01,5.716102E-01,3.945434E-01,2.375063E-01,1.217883E-01,5.257482E-02,1.886533E-02,5.701372E-03,1.471060E-03,3.469799E-04,7.613692E-05,3.690253E-05
-132.08000,53.26000,1.000000E+00,1.000000E+00,9.999999E-01,9.999957E-01,9.999120E-01,9.990697E-01,9.943852E-01,9.784336E-01,9.404058E-01,8.724275E-01,7.733344E-01,6.414576E-01,4.897861E-01,3.336360E-01,1.969201E-01,9.769108E-02,4.016761E-02,1.343129E-02,3.705012E-03,8.085126E-04,3.636279E-04
-131.82001,53.25000,1.000000E+00,1.000000E+00,9.999998E-01,9.999898E-01,9.998222E-01,9.983518E-01,9.910032E-01,9.679690E-01,9.168000E-01,8.311004E-01,7.134910E-01,5.661309E-01,4.082355E-01,2.592680E-01,1.413059E-01,6.432104E-02,2.421572E-02,7.421227E-03,1.888897E-03,3.848422E-04,1.689450E-04
-130.32001,54.32000,9.999992E-01,9.999292E-01,9.993284E-01,9.957057E-01,9.805228E-01,9.348065E-01,8.363113E-01,6.804261E-01,4.886170E-01,3.048085E-01,1.641812E-01,7.358330E-02,2.804174E-02,9.010363E-03,2.501517E-03,6.342958E-04,1.670986E-04,4.949284E-05,1.603743E-05,4.952108E-06,2.745214E-06
-128.64999,54.07000,9.999691E-01,9.990414E-01,9.942501E-01,9.750178E-01,9.202369E-01,8.059738E-01,6.329487E-01,4.374337E-01,2.620787E-01,1.358766E-01,6.091956E-02,2.279646E-02,7.542244E-03,2.316868E-03,7.383615E-04,2.651470E-04,1.049155E-04,4.109397E-05,1.508302E-05,4.867052E-06,2.716722E-06
-127.42000,50.70000,1.000000E+00,1.000000E+00,9.999999E-01,9.999883E-01,9.996486E-01,9.953690E-01,9.695525E-01,8.885893E-01,7.384312E-01,5.550426E-01,3.840552E-01,2.422203E-01,1.403438E-01,7.292958E-02,3.333010E-02,1.305415E-02,4.347437E-03,1.212150E-03,2.904556E-04,5.822361E-05,2.589395E-05
-125.88000,49.12000,1.000000E+00,9.999999E-01,9.999911E-01,9.997050E-01,9.958361E-01,9.699807E-01,8.810338E-01,7.130484E-01,5.146474E-01,3.508465E-01,2.411638E-01,1.708572E-01,1.266389E-01,9.527248E-02,6.980401E-02,4.724575E-02,2.823377E-02,1.427641E-02,6.026360E-03,2.030154E-03,1.118818E-03
-125.24000,50.02000,1.000000E+00,9.999961E-01,9.998580E-01,9.977690E-01,9.826027E-01,9.227910E-01,7.887499E-01,6.040004E-01,4.236609E-01,2.852568E-01,1.903458E-01,1.238151E-01,7.781729E-02,4.535416E-02,2.374564E-02,1.083077E-02,4.264086E-03,1.437101E-03,4.295943E-04,1.133392E-04,5.855427E-05
-124.80000,49.23300,1.000000E+00,9.999980E-01,9.999280E-01,9.987801E-01,9.895273E-01,9.490657E-01,8.490167E-01,6.952434E-01,5.245137E-01,3.743030E-01,2.594894E-01,1.754048E-01,1.180173E-01,7.733651E-02,4.763041E-02,2.628184E-02,1.254980E-02,5.009230E-03,1.670214E-03,4.460833E-04,2.216260E-04
-123.93000,49.17000,1.000000E+00,9.999939E-01,9.998792E-01,9.986187E-01,9.907225E-01,9.608942E-01,8.901564E-01,7.749614E-01,6.296736E-01,4.799265E-01,3.457403E-01,2.323488E-01,1.468275E-01,8.546298E-02,4.488142E-02,2.066775E-02,8.224314E-03,2.769720E-03,8.028343E-04,1.952872E-04,9.519010E-05
