CHV_NBCC Mean SA[1.0] Hazard (g)

---OpenQuake---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0030,0.0036,0.0055,0.0128,0.0231,0.0364,0.0513,0.0562,0.0747,0.0947
Quebec,0.0041,0.0069,0.0102,0.0228,0.0409,0.0645,0.0919,0.1019,0.1368,0.1771
Malbaie,0.0195,0.0325,0.0475,0.1083,0.2050,0.3513,0.5477,0.6181,0.8993,1.2453
Riviere-du-Loup,0.0104,0.0177,0.0262,0.0600,0.1130,0.1950,0.3085,0.3523,0.5335,0.7726


---2015 NBCC---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0024,0.0039,0.0055,0.0129,0.0233,0.0361,0.0505,0.0556,0.0737,0.0935
Quebec,0.0044,0.0071,0.0106,0.0232,0.0408,0.0641,0.0907,0.1002,0.1345,0.1742
Malbaie,0.0222,0.0355,0.0507,0.1118,0.2079,0.3539,0.5479,0.6223,0.9018,1.2473
Riviere-du-Loup,0.0122,0.0201,0.0292,0.0651,0.1210,0.2075,0.3280,0.3742,0.5646,0.8142


---Ratios---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.8000,1.0762,1.0084,1.0099,1.0106,0.9908,0.9839,0.9890,0.9871,0.9877
Quebec,1.0628,1.0251,1.0438,1.0155,0.9976,0.9943,0.9869,0.9835,0.9835,0.9835
Malbaie,1.1356,1.0936,1.0673,1.0321,1.0141,1.0073,1.0004,1.0069,1.0028,1.0016
Riviere-du-Loup,1.1718,1.1370,1.1152,1.0857,1.0711,1.0639,1.0632,1.0622,1.0584,1.0538


---% Difference---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,-22.22,7.34,0.84,0.98,1.06,-0.92,-1.62,-1.11,-1.30,-1.24
Quebec,6.09,2.48,4.29,1.54,-0.24,-0.58,-1.32,-1.67,-1.67,-1.66
Malbaie,12.70,8.94,6.51,3.16,1.40,0.72,0.04,0.68,0.28,0.16
Riviere-du-Loup,15.82,12.82,10.89,8.22,6.87,6.20,6.13,6.03,5.67,5.24
