CHV_NBCC Mean SA[0.2] Hazard (g)

---OpenQuake---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0111,0.0162,0.0214,0.0389,0.0598,0.0848,0.1119,0.1207,0.1532,0.1883
Quebec,0.0268,0.0383,0.0499,0.0880,0.1353,0.1928,0.2559,0.2786,0.3557,0.4442
Malbaie,0.1541,0.2280,0.3048,0.5675,0.9149,1.3875,1.9571,2.1657,2.9188,3.5000
Riviere-du-Loup,0.0801,0.1224,0.1673,0.3268,0.5525,0.8672,1.2684,1.4173,1.9863,2.6819


---2015 NBCC---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0120,0.0170,0.0222,0.0391,0.0600,0.0844,0.1109,0.1197,0.1516,0.1867
Quebec,0.0288,0.0401,0.0514,0.0891,0.1359,0.1920,0.2551,0.2762,0.3527,0.4417
Malbaie,0.1688,0.2432,0.3187,0.5778,0.9246,1.3954,1.9585,2.1583,2.9112,3.7628
Riviere-du-Loup,0.0869,0.1291,0.1736,0.3300,0.5497,0.8616,1.2589,1.4069,1.9674,2.6541


---Ratios---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,1.0813,1.0512,1.0362,1.0040,1.0029,0.9954,0.9911,0.9920,0.9897,0.9915
Quebec,1.0759,1.0475,1.0304,1.0120,1.0047,0.9960,0.9969,0.9915,0.9915,0.9944
Malbaie,1.0957,1.0667,1.0457,1.0182,1.0106,1.0057,1.0007,0.9966,0.9974,1.0751
Riviere-du-Loup,1.0854,1.0544,1.0374,1.0097,0.9950,0.9936,0.9925,0.9927,0.9905,0.9896


---% Difference---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,7.82,4.99,3.56,0.39,0.29,-0.46,-0.89,-0.80,-1.04,-0.85
Quebec,7.31,4.64,3.00,1.19,0.47,-0.40,-0.31,-0.85,-0.86,-0.56
Malbaie,9.13,6.45,4.46,1.80,1.05,0.57,0.07,-0.34,-0.26,7.24
Riviere-du-Loup,8.19,5.30,3.67,0.97,-0.50,-0.64,-0.75,-0.74,-0.96,-1.04
