CHV_NBCC Mean SA[1.0] Hazard (g)

---OpenQuake---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0030,0.0036,0.0054,0.0127,0.0229,0.0362,0.0510,0.0559,0.0743,0.0941
Quebec,0.0041,0.0068,0.0100,0.0225,0.0404,0.0636,0.0906,0.1003,0.1346,0.1742
Malbaie,0.0196,0.0325,0.0476,0.1085,0.2055,0.3525,0.5500,0.6206,0.9037,1.2521
Riviere-du-Loup,0.0108,0.0186,0.0275,0.0633,0.1197,0.2078,0.3293,0.3770,0.5707,0.8229


---2015 NBCC---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0023,0.0038,0.0055,0.0128,0.0232,0.0360,0.0504,0.0555,0.0736,0.0933
Quebec,0.0044,0.0071,0.0105,0.0231,0.0407,0.0638,0.0903,0.0998,0.1339,0.1733
Malbaie,0.0222,0.0355,0.0507,0.1118,0.2077,0.3539,0.5479,0.6223,0.9018,1.2473
Riviere-du-Loup,0.0121,0.0199,0.0290,0.0647,0.1203,0.2066,0.3270,0.3732,0.5631,0.8133


---Ratios---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.7667,1.0559,1.0152,1.0087,1.0126,0.9946,0.9884,0.9929,0.9912,0.9918
Quebec,1.0786,1.0403,1.0478,1.0247,1.0080,1.0035,0.9971,0.9949,0.9950,0.9947
Malbaie,1.1324,1.0908,1.0650,1.0305,1.0109,1.0040,0.9962,1.0027,0.9979,0.9962
Riviere-du-Loup,1.1158,1.0726,1.0539,1.0220,1.0050,0.9943,0.9929,0.9898,0.9867,0.9883


---% Difference---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,-26.42,5.44,1.51,0.87,1.25,-0.55,-1.17,-0.72,-0.88,-0.82
Quebec,7.57,3.95,4.67,2.44,0.80,0.35,-0.29,-0.51,-0.50,-0.53
Malbaie,12.42,8.68,6.29,3.00,1.09,0.40,-0.38,0.27,-0.21,-0.38
Riviere-du-Loup,10.94,7.01,5.25,2.18,0.50,-0.57,-0.71,-1.03,-1.34,-1.17
