CHV_NBCC Mean SA[0.2] Hazard (g)

---OpenQuake---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0111,0.0162,0.0214,0.0390,0.0598,0.0848,0.1119,0.1207,0.1532,0.1884
Quebec,0.0268,0.0383,0.0499,0.0881,0.1354,0.1929,0.2561,0.2788,0.3561,0.4446
Malbaie,0.1544,0.2286,0.3056,0.5690,0.9176,1.3914,1.9621,2.1708,2.5000,2.5000
Riviere-du-Loup,0.0798,0.1219,0.1665,0.3249,0.5487,0.8614,1.2601,1.4078,1.9738,2.5000


---2015 NBCC---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0120,0.0170,0.0222,0.0391,0.0600,0.0844,0.1109,0.1197,0.1516,0.1867
Quebec,0.0288,0.0401,0.0514,0.0891,0.1359,0.1920,0.2551,0.2762,0.3527,0.4417
Malbaie,0.1688,0.2432,0.3187,0.5778,0.9246,1.3954,1.9585,2.1583,2.9112,3.7628
Riviere-du-Loup,0.0869,0.1291,0.1736,0.3300,0.5497,0.8616,1.2589,1.4069,1.9674,2.6541


---Ratios---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,1.0809,1.0508,1.0358,1.0036,1.0025,0.9950,0.9907,0.9916,0.9893,0.9910
Quebec,1.0752,1.0470,1.0298,1.0114,1.0041,0.9953,0.9961,0.9907,0.9906,0.9935
Malbaie,1.0933,1.0640,1.0430,1.0155,1.0077,1.0029,0.9982,0.9942,1.1645,1.5051
Riviere-du-Loup,1.0888,1.0590,1.0425,1.0158,1.0018,1.0002,0.9990,0.9993,0.9968,1.0616


---% Difference---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,7.77,4.95,3.52,0.36,0.25,-0.50,-0.93,-0.85,-1.08,-0.90
Quebec,7.25,4.59,2.94,1.13,0.40,-0.47,-0.39,-0.94,-0.95,-0.65
Malbaie,8.91,6.20,4.21,1.53,0.76,0.29,-0.18,-0.58,15.20,40.33
Riviere-du-Loup,8.50,5.73,4.16,1.57,0.18,0.02,-0.10,-0.07,-0.32,5.98
