SECAN_COLLAPSE Mean SA[1.0] Hazard (g)
 
---OpenQuake---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Regina, SK,0.0030,0.0030,0.0030,0.0030,0.0038,0.0075,0.0124,0.0143,0.0217,0.0315
Winnipeg, MB,0.0030,0.0030,0.0030,0.0030,0.0044,0.0082,0.0133,0.0151,0.0226,0.0324
Thunder Bay, ON,0.0030,0.0030,0.0030,0.0030,0.0048,0.0089,0.0145,0.0165,0.0250,0.0362
Windsor, ON,0.0030,0.0030,0.0030,0.0062,0.0117,0.0196,0.0293,0.0328,0.0469,0.0653
Sudbury, ON,0.0030,0.0036,0.0051,0.0104,0.0179,0.0279,0.0398,0.0439,0.0600,0.0795
Toronto (city hall), ON,0.0031,0.0047,0.0066,0.0135,0.0231,0.0367,0.0546,0.0615,0.0908,0.1338
Ottawa (Kanata), ON,0.0075,0.0106,0.0139,0.0253,0.0410,0.0638,0.0948,0.1070,0.1598,0.2388
Montréal (city hall), QC,0.0093,0.0130,0.0170,0.0310,0.0513,0.0821,0.1265,0.1444,0.2217,0.3336
Québec, QC,0.0107,0.0149,0.0194,0.0340,0.0536,0.0806,0.1163,0.1300,0.1886,0.2746
Rivière-du-Loup, QC,0.0156,0.0225,0.0301,0.0580,0.0996,0.1621,0.2483,0.2821,0.4190,0.6018
Fredericton, NB,0.0067,0.0095,0.0124,0.0217,0.0331,0.0475,0.0642,0.0702,0.0930,0.1219
Halifax, NS,0.0031,0.0046,0.0064,0.0126,0.0208,0.0316,0.0447,0.0495,0.0678,0.0913
Charlottetown, PE,0.0041,0.0060,0.0079,0.0145,0.0225,0.0326,0.0442,0.0484,0.0640,0.0838
St. John's, NL,0.0030,0.0037,0.0054,0.0119,0.0204,0.0310,0.0431,0.0473,0.0630,0.0820

 
---2015 NBCC---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Regina, SK,0.0008,0.0013,0.0020,0.0051,0.0105,0.0179,0.0270,0.0303,0.0430,0.0582
Winnipeg, MB,0.0004,0.0007,0.0010,0.0025,0.0049,0.0090,0.0144,0.0162,0.0238,0.0337
Thunder Bay, ON,0.0005,0.0007,0.0011,0.0029,0.0055,0.0103,0.0160,0.0182,0.0266,0.0378
Windsor, ON,0.0014,0.0023,0.0033,0.0073,0.0137,0.0219,0.0319,0.0354,0.0495,0.0680
Sudbury, ON,0.0029,0.0042,0.0057,0.0118,0.0195,0.0296,0.0415,0.0457,0.0618,0.0813
Toronto (city hall), ON,0.0036,0.0052,0.0072,0.0146,0.0243,0.0377,0.0556,0.0625,0.0922,0.1360
Ottawa (Kanata), ON,0.0076,0.0111,0.0144,0.0260,0.0419,0.0651,0.0970,0.1096,0.1649,0.2490
Montréal (city hall), QC,0.0096,0.0135,0.0176,0.0318,0.0522,0.0838,0.1295,0.1480,0.2286,0.3459
