2015 NBCC with LRF-DMF Mean SA[1.0] Hazard (g)
 
---OQ NBCC---
 
Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset,0.0956,0.1207,0.1459,0.2184,0.3008,0.3970,0.4949,0.5297,0.6461,0.7802
Masset,0.1486,0.1964,0.2418,0.3829,0.5384,0.7116,0.8932,0.9535,1.1674,1.3959
Sandspit,0.1280,0.1676,0.2073,0.3238,0.4550,0.6052,0.7654,0.8153,0.9953,1.1925
Prince Rupert,0.0443,0.0546,0.0639,0.0922,0.1242,0.1616,0.2029,0.2156,0.2634,0.3164
Kitimat,0.0289,0.0354,0.0415,0.0598,0.0807,0.1056,0.1322,0.1416,0.1740,0.2118
Port Hardy,0.0610,0.0791,0.0977,0.1586,0.2335,0.3251,0.4267,0.4598,0.5836,0.7183
Tofino,0.0425,0.0548,0.0680,0.1257,0.2661,0.5365,0.8293,0.9211,1.2531,1.6138
Campbell River,0.0368,0.0476,0.0590,0.1015,0.1680,0.2647,0.3783,0.4168,0.5585,0.7106
Port Alberni,0.0439,0.0577,0.0724,0.1299,0.2281,0.3826,0.5646,0.6217,0.8387,1.0798
Nanaimo,0.0541,0.0725,0.0919,0.1614,0.2546,0.3739,0.5063,0.5542,0.7130,0.8909
Sidney,0.0685,0.0915,0.1153,0.1972,0.3011,0.4310,0.5778,0.6250,0.8050,1.0001
Victoria,0.0706,0.0941,0.1186,0.2044,0.3168,0.4616,0.6255,0.6810,0.8805,1.1077
Squamish,0.0351,0.0461,0.0575,0.0962,0.1477,0.2145,0.2931,0.3194,0.4204,0.5372
Vancouver (city hall),0.0483,0.0642,0.0806,0.1362,0.2072,0.2955,0.3957,0.4277,0.5519,0.6863
Abbotsford,0.0425,0.0561,0.0698,0.1147,0.1713,0.2430,0.3250,0.3535,0.4575,0.5791
Chilliwack,0.0338,0.0443,0.0551,0.0897,0.1336,0.1900,0.2554,0.2791,0.3637,0.4635
Kamloops,0.0097,0.0130,0.0164,0.0279,0.0426,0.0615,0.0835,0.0911,0.1194,0.1529
Penticton,0.0115,0.0152,0.0192,0.0320,0.0487,0.0703,0.0954,0.1044,0.1366,0.1739
Kelowna,0.0101,0.0136,0.0170,0.0286,0.0433,0.0623,0.0843,0.0920,0.1203,0.1539
Calgary,0.0051,0.0075,0.0101,0.0190,0.0306,0.0461,0.0649,0.0718,0.0982,0.1314
Edmonton,0.0030,0.0030,0.0033,0.0074,0.0134,0.0216,0.0315,0.0352,0.0492,0.0671

 
---OQ Alt---
 
Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset,0.0956,0.1207,0.1459,0.2184,0.3008,0.3970,0.4949,0.5297,0.6461,0.7802
Masset,0.1486,0.1964,0.2418,0.3829,0.5384,0.7116,0.8932,0.9535,1.1674,1.3959
Sandspit,0.1280,0.1676,0.2073,0.3238,0.4550,0.6052,0.7654,0.8153,0.9953,1.1925
Prince Rupert,0.0443,0.0546,0.0639,0.0922,0.1242,0.1616,0.2029,0.2156,0.2634,0.3164
Kitimat,0.0289,0.0354,0.0415,0.0598,0.0807,0.1056,0.1322,0.1416,0.1740,0.2118
Port Hardy,0.0610,0.0791,0.0977,0.1586,0.2335,0.3251,0.4267,0.4598,0.5836,0.7183
Tofino,0.0427,0.0550,0.0682,0.1258,0.2662,0.5366,0.8293,0.9211,1.2531,1.6138
Campbell River,0.0370,0.0477,0.0591,0.1016,0.1680,0.2647,0.3783,0.4168,0.5585,0.7106
Port Alberni,0.0444,0.0583,0.0731,0.1305,0.2283,0.3827,0.5647,0.6217,0.8387,1.0798
Nanaimo,0.0550,0.0735,0.0929,0.1622,0.2551,0.3742,0.5064,0.5543,0.7130,0.8910
Sidney,0.0706,0.0946,0.1192,0.2030,0.3066,0.4358,0.5815,0.6286,0.8077,1.0023
Victoria,0.0732,0.0984,0.1249,0.2186,0.3428,0.5015,0.6776,0.7396,0.9501,1.1870
Squamish,0.0356,0.0467,0.0581,0.0967,0.1480,0.2147,0.2932,0.3194,0.4205,0.5372
Vancouver (city hall),0.0491,0.0651,0.0815,0.1370,0.2077,0.2957,0.3958,0.4278,0.5520,0.6863
Abbotsford,0.0433,0.0570,0.0709,0.1158,0.1723,0.2437,0.3256,0.3540,0.4578,0.5793
Chilliwack,0.0344,0.0451,0.0559,0.0906,0.1345,0.1907,0.2559,0.2796,0.3640,0.4637
Kamloops,0.0099,0.0132,0.0166,0.0282,0.0428,0.0617,0.0836,0.0912,0.1194,0.1529
Penticton,0.0117,0.0155,0.0195,0.0323,0.0490,0.0706,0.0956,0.1046,0.1367,0.1740
Kelowna,0.0103,0.0138,0.0172,0.0288,0.0436,0.0625,0.0845,0.0921,0.1204,0.1540
Calgary,0.0051,0.0075,0.0101,0.0190,0.0306,0.0461,0.0649,0.0718,0.0982,0.1314
Edmonton,0.0030,0.0030,0.0033,0.0074,0.0134,0.0216,0.0315,0.0352,0.0492,0.0671

 
---Ratios---	GSCFRISK / OQ
 
Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Masset,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sandspit,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Prince Rupert,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Kitimat,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Port Hardy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Tofino,0.9949,0.9959,0.9969,0.9989,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000
Campbell River,0.9949,0.9963,0.9973,0.9991,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000
Port Alberni,0.9885,0.9899,0.9914,0.9961,0.9990,0.9999,1.0000,1.0000,1.0000,1.0000
Nanaimo,0.9846,0.9859,0.9887,0.9950,0.9982,0.9994,0.9998,0.9999,0.9999,1.0000
Sidney,0.9696,0.9671,0.9676,0.9711,0.9821,0.9890,0.9936,0.9942,0.9968,0.9977
Victoria,0.9646,0.9565,0.9499,0.9352,0.9241,0.9205,0.9232,0.9207,0.9267,0.9332
Squamish,0.9858,0.9880,0.9902,0.9949,0.9981,0.9993,0.9998,0.9998,0.9999,1.0000
Vancouver (city hall),0.9837,0.9859,0.9885,0.9940,0.9977,0.9991,0.9996,0.9997,0.9999,0.9999
Abbotsford,0.9824,0.9839,0.9845,0.9904,0.9943,0.9969,0.9984,0.9986,0.9993,0.9997
Chilliwack,0.9820,0.9836,0.9856,0.9897,0.9935,0.9963,0.9980,0.9983,0.9991,0.9996
Kamloops,0.9803,0.9820,0.9850,0.9916,0.9956,0.9979,0.9990,0.9992,0.9996,0.9998
Penticton,0.9812,0.9826,0.9844,0.9890,0.9931,0.9961,0.9978,0.9984,0.9990,0.9995
Kelowna,0.9817,0.9823,0.9842,0.9901,0.9941,0.9968,0.9983,0.9985,0.9992,0.9996
Calgary,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Edmonton,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000

 
---% Difference---	OQ NBCC / OQ Alt
 
Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Masset,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sandspit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Prince Rupert,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kitimat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Port Hardy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tofino,0.51,0.41,0.31,0.11,0.01,0.00,0.00,0.00,0.00,0.00
Campbell River,0.51,0.37,0.27,0.09,0.02,0.00,0.00,0.00,0.00,0.00
Port Alberni,1.15,1.01,0.86,0.39,0.10,0.01,0.00,0.00,0.00,0.00
Nanaimo,1.55,1.42,1.14,0.50,0.18,0.06,0.02,0.01,0.01,0.00
Sidney,3.08,3.34,3.30,2.94,1.81,1.10,0.64,0.58,0.33,0.23
Victoria,3.60,4.45,5.14,6.70,7.88,8.28,7.99,8.26,7.61,6.91
Squamish,1.43,1.21,0.99,0.51,0.19,0.07,0.02,0.02,0.01,0.00
Vancouver (city hall),1.65,1.42,1.15,0.60,0.23,0.09,0.04,0.03,0.01,0.01
Abbotsford,1.78,1.63,1.56,0.97,0.58,0.31,0.16,0.14,0.07,0.03
Chilliwack,1.81,1.65,1.45,1.04,0.65,0.37,0.20,0.17,0.09,0.04
Kamloops,1.99,1.81,1.51,0.84,0.44,0.21,0.10,0.08,0.04,0.02
Penticton,1.90,1.75,1.58,1.11,0.69,0.39,0.22,0.16,0.10,0.05
Kelowna,1.84,1.79,1.60,0.99,0.59,0.32,0.17,0.15,0.08,0.04
Calgary,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Edmonton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
